symbol,date,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,inside_bar,is_52w_high,is_52w_low,data_source,industry_group,industry,rs_percentile,cond8_rs_at_least_70,all_conditions_met,total_market_cap_cr,traded_value_cr,traded_volume,traded_val_pct_mc
RPEL.NS,2026-07-13,1316.4000244140625,1260.5874837239583,1152.7620154486763,1060.1160693359375,866.7848128255208,857.1456848144531,1275.6207191023143,560.8282002900473,1330.0,True,True,True,True,True,True,True,True,False,90.84607025394911,noise,29.91021134474323,False,False,True,False,,Industrial Products,Electrodes & Refractories,96.17263843648209,True,True,6045.17,21.0,159553.0,0.3474
IOLCP.NS,2026-07-13,169.08999633789062,153.88916651407877,138.26722208658853,129.5395999145508,95.28604949951172,95.21769821166993,158.5218856433574,67.07081715721031,177.89999389648438,True,True,True,True,True,True,True,True,False,89.01745644672702,noise,51.104406561957575,False,True,False,False,,Pharmaceuticals & Biotechnology,Pharmaceuticals,95.96905537459284,True,True,4963.26,87.07,5149351.0,1.7543
KERNEX.NS,2026-07-13,2233.39990234375,2204.999989827474,1977.2249891493057,1817.6319921875,1363.8856656901041,1326.9232498168944,2182.220493424649,850.0,2445.0,True,True,True,True,True,True,True,True,False,87.64913409253099,noise,45.31707955042826,False,False,False,False,,Transport Services,Transport Related Services,95.92833876221498,True,True,3752.92,70.48,315562.0,1.8779
NDLVENTURE.NS,2026-07-13,132.0800018310547,131.73749796549478,130.74055523342557,128.4961996459961,112.38926661173502,106.00469997406006,131.63527284175765,61.861444746250015,140.0,True,True,True,True,True,True,True,True,False,87.39306779472047,noise,37.54218658079698,False,False,False,False,,Finance,Other Financial Services,95.88762214983714,True,True,444.73,0.41,30942.0,0.0919
GRANULES.NS,2026-07-13,897.6500244140625,840.8333333333334,794.611107720269,780.1489978027344,660.7119995117188,633.97,856.1694079838393,432.6000061035156,907.7999877929688,True,True,True,True,True,True,True,True,False,86.95894119426013,noise,88.77098382519685,False,False,True,False,,Pharmaceuticals & Biotechnology,Pharmaceuticals,95.80618892508144,True,True,22243.49,125.4,1396973.0,0.5638
TMB.NS,2026-07-13,801.0999755859375,759.0083312988281,744.2819298638237,727.772587890625,640.4630423990885,596.0250845336914,771.6970046595308,405.09227596916213,812.5,True,True,True,True,True,True,True,True,False,86.29610573207454,noise,87.77619798809172,False,False,False,False,,Banks,Private Sector Bank,95.72475570032573,True,True,12685.53,37.45,467536.0,0.2953
AETHER.NS,2026-07-13,1452.800048828125,1385.7666727701824,1232.4527723524307,1208.0439990234374,1075.8203389485677,1004.3897549438476,1402.7539604316378,726.4500122070312,1538.5,True,True,True,True,True,True,True,True,False,86.05367154400776,noise,44.97059141434544,False,False,False,False,,Chemicals & Petrochemicals,Specialty Chemicals,95.68403908794788,True,True,19280.48,59.42,408982.0,0.3082
ADANIENSOL.NS,2026-07-13,1644.5999755859375,1581.5916849772136,1534.5111185709636,1481.5920043945312,1184.8216674804687,1127.4595010375976,1606.8385063643004,744.9000244140625,1712.0,True,True,True,True,True,True,True,True,False,84.75537049706745,noise,33.54919164015106,False,True,False,False,,Power,Power Distribution,95.64332247557003,True,True,197562.94,552.7,3360676.0,0.2798
UNIPARTS.NS,2026-07-13,694.7999877929688,665.2083333333334,646.4388936360677,618.1950036621093,521.5576035563151,506.53600845336916,672.2136001829107,310.005232163007,722.7000122070312,True,True,True,True,True,True,True,True,False,84.38594698136039,red,106.63028106424912,False,False,False,False,,Auto Components,Auto Components & Equipments,95.60260586319218,True,True,3133.63,14.43,207741.0,0.4606
INDOTECH.NS,2026-07-13,3396.39990234375,3162.4583129882812,2820.5777655707466,2751.5079931640626,1944.353330078125,1888.992996826172,3167.425689836358,1100.0,3469.5,True,True,True,True,True,True,True,True,False,78.94625407501317,green,107.66823367842807,False,False,True,False,,Electrical Equipment,Heavy Electrical Equipment,95.48045602605863,True,True,3606.98,24.8,73011.0,0.6875
