symbol,date,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,inside_bar,is_52w_high,is_52w_low,data_source,industry_group,industry,rs_percentile,cond8_rs_at_least_70,all_conditions_met,total_market_cap_cr,traded_value_cr,traded_volume,traded_val_pct_mc
MWL.NS,2026-07-13,37.20000076293945,37.35666720072428,37.52972263760037,37.04490020751953,30.629133427937827,28.85752507209778,37.26059292579433,15.980856062908899,41.95000076293945,True,True,True,True,True,True,True,False,False,125.51961921571237,green,236.33195851216308,False,True,False,False,,Metals & Minerals Trading,Trading - Metals,97.58691206543966,True,True,1101.89,2.98,802155.0,0.2701
MANORAMA.NS,2026-07-13,1615.5999755859375,1577.8916727701824,1528.1444396972656,1505.423994140625,1395.2519962565104,1394.4444982910156,1576.1895676042695,1060.5999755859375,1759.2495114293124,True,True,True,True,True,True,True,True,False,8.29408642877798,noise,60.29841348739484,False,True,False,False,,Food Products,Other Food Products,71.90184049079754,True,True,10193.63,28.84,178577.0,0.2829
MUFIN.NS,2026-07-13,129.9499969482422,131.44666735331217,126.83777872721355,124.02840057373047,115.87466664632161,112.39224994659423,130.67575989761627,82.98999786376953,138.0,True,True,True,True,True,True,True,False,False,42.645443605750735,noise,20.377120971966285,False,True,False,False,,Finance,Non Banking Financial Company (NBFC),89.36605316973414,True,True,2575.32,27.89,2146304.0,1.0831
NGLFINE.NS,2026-07-13,3125.800048828125,3117.6583455403647,2946.8277926974824,2792.114013671875,2210.19,2018.3990002441406,3136.8531735674183,1173.8127642927202,3329.0,True,True,True,True,True,True,True,False,False,145.03272119858462,dry,16.090424211122258,False,True,False,False,,Pharmaceuticals & Biotechnology,Pharmaceuticals,98.15950920245399,True,True,1927.3,5.85,18753.0,0.3035
PARAS.NS,2026-07-13,1225.0,1270.4666849772136,1122.2347310384114,1032.0300048828126,797.1023368326823,775.3642526245117,1260.946470398979,580.5,1443.0,True,True,True,True,True,True,True,False,False,44.109979212531854,noise,23.868916311176935,False,True,False,False,,Aerospace & Defense,Aerospace & Defense,89.73415132924335,True,True,9878.4,441.75,3603771.0,4.4719
PRIVISCL.NS,2026-07-13,3634.0,3642.0333455403647,3458.74166531033,3404.2260009765623,3099.480672200521,3041.821005859375,3626.8992829896497,2173.199951171875,3760.0,True,True,True,True,True,True,True,True,False,52.945813633951744,noise,21.467837226817526,False,True,False,False,,Chemicals & Petrochemicals,Specialty Chemicals,91.94274028629856,True,True,14180.93,36.88,101594.0,0.2601
RPEL.NS,2026-07-13,1300.800048828125,1259.2874857584636,1152.3286827935112,1059.8040698242187,866.6808129882812,857.0676849365234,1272.784359904871,560.8282002900473,1330.0,True,True,True,True,True,True,True,True,False,88.58445221883939,dry,13.042495105323685,False,True,False,False,,Industrial Products,Electrodes & Refractories,96.03271983640082,True,True,5967.56,20.73,159553.0,0.3474
SOTL.NS,2026-07-13,598.3499755859375,548.6583404541016,534.2013888888889,501.8479998779297,405.4583333333333,401.75850006103514,569.0106426520703,285.79998779296875,639.1500244140625,True,True,True,True,True,True,True,True,False,38.758012823915244,noise,24.216586708606723,False,True,False,False,,Petroleum Products,Lubricants,87.93456032719837,True,True,4103.34,30.21,504844.0,0.7363
SBCL.NS,2026-07-13,738.5999755859375,745.0416666666666,736.9097171359592,704.5219970703125,540.5007118733724,526.2616397094727,739.194451950242,368.6000061035156,814.0,True,True,True,True,True,True,True,False,False,31.922141527698187,noise,52.09309033721984,False,True,False,False,,Industrial Products,Iron & Steel Products,84.86707566462167,True,True,4255.8,45.37,614118.0,1.0661
SKYGOLD.NS,2026-07-13,618.3499755859375,565.2333246866862,531.1361083984375,514.0229986572266,405.1296651204427,387.0194989013672,582.6857580398225,246.0500030517578,638.0,True,True,True,True,True,True,True,True,False,95.40210198550855,noise,24.847593744611956,False,True,False,False,,Consumer Durables,"Gems, Jewellery And Watches",96.56441717791411,True,True,9628.51,92.25,1483814.0,0.9581
SOUTHBANK.NS,2026-07-13,45.869998931884766,45.67583338419596,44.963611390855576,43.580200271606444,41.007800064086915,39.719050121307376,45.65374180017696,27.970228553484873,49.900001525878906,True,True,True,True,True,True,True,True,False,53.64444027895732,noise,42.30776621282484,False,True,False,False,,Banks,Private Sector Bank,92.14723926380368,True,True,12006.45,79.9,17423472.0,0.6655
STARHEALTH.NS,2026-07-13,603.0999755859375,589.2749938964844,555.5055575900608,544.0630017089844,491.7516680908203,489.67000106811525,591.1343609704453,416.54998779296875,614.2000122070312,True,True,True,True,True,True,True,True,False,39.5580201559373,noise,92.15367239690364,False,True,False,False,,Insurance,General Insurance,88.42535787321063,True,True,35504.27,45.08,747019.0,0.127
SYRMA.NS,2026-07-13,1438.5,1403.8083394368489,1289.2833455403645,1220.2490075683593,938.4950028483073,909.0452520751953,1406.7027987355968,620.351693642141,1517.699951171875,True,True,True,True,True,True,True,True,False,121.83678771107473,noise,31.376218680018965,False,True,False,False,,Industrial Manufacturing,Industrial Products,97.54601226993866,True,True,27703.32,225.39,1567162.0,0.8136
TIPSMUSIC.NS,2026-07-13,710.4000244140625,673.3375040690104,660.2374962700737,657.332998046875,582.5551391601563,568.6326657104493,685.9161343935582,478.56920878389656,726.75,True,True,True,True,True,True,True,True,False,12.51312864901526,noise,52.516351666091055,False,True,False,False,,Entertainment,Media & Entertainment,74.88752556237219,True,True,9102.89,31.46,441724.0,0.3456
TIRUPATIFL.NS,2026-07-13,68.69999694824219,65.22416559855144,52.23583306206597,49.34099983215332,41.88673315684001,40.85379984855652,65.53111296375994,30.110000610351562,74.9000015258789,True,True,True,True,True,True,True,True,False,51.2882562851569,noise,37.51740813930978,False,True,False,False,,Industrial Products,Castings & Forgings,91.61554192229039,True,True,815.44,4.89,711238.0,0.6001
UFBL.NS,2026-07-13,745.8499755859375,695.1666615804037,607.3861100938585,543.5809991455078,335.06299967447916,303.52664978027343,709.6324515078297,172.33999633789062,763.3499755859375,True,True,True,True,True,True,True,True,False,142.82923340617214,dry,12.12058592435927,False,True,False,False,,Leisure Services,Restaurants,98.07770961145195,True,True,2919.95,30.16,403721.0,1.0329
YASHO.NS,2026-07-13,3005.0,2952.8666381835938,2667.191657172309,2402.079990234375,1751.6126603190105,1722.3494946289063,2951.2363070094466,1130.0,3180.300048828125,True,True,True,True,True,True,True,True,False,49.0842691161657,dry,17.463220343315523,False,True,False,False,,Chemicals & Petrochemicals,Specialty Chemicals,91.24744376278119,True,True,3622.65,10.5,35015.0,0.29
