symbol,date,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,inside_bar,is_52w_high,is_52w_low,name,industry_group,industry
542155.BO,2026-09-02,0.9200000166893005,0.9325000047683716,1.0044444517956839,1.0133999955654145,1.1594000017642976,1.39445000320673,0.9342066543178031,0.9100000262260437,2.2899999618530273,False,False,False,False,False,False,False,False,False,-58.744394223299636,red,103.62694300518133,False,False,False,True,Diksha Greens,Commercial Services & Supplies,Trading & Distributors
543400.BO,2026-09-02,2.4100000858306885,2.4075000484784446,2.4711111320389643,2.517200021743774,3.3536000061035156,3.79925000667572,2.3845438205329916,2.1600000858306885,8.170000076293945,False,False,False,False,False,False,False,True,False,-67.86666552225749,green,336.7003367003367,True,False,False,False,Omnipotent,Petroleum Products,Refineries & Marketing
538765.BO,2026-09-02,2.119999885559082,2.3199999729792276,2.418333331743876,2.672999997138977,5.6105332771937055,5.966849972009658,2.249619922596183,1.9199999570846558,8.239999771118164,False,False,False,False,False,False,False,False,False,-63.51118921793206,ppv,697.6744186046511,True,False,False,False,JLA Infraville,Retailing,Internet & Catalogue Retail
543613.BO,2026-09-02,4.710000038146973,4.490833282470703,4.9677777422799005,5.06080002784729,6.220133349100749,6.946900000572205,4.528994119437195,3.5999999046325684,16.0,False,False,False,False,False,True,False,True,False,-66.35714258466447,dry,0.0,False,False,False,False,Mafia Trends,Retailing,Speciality Retail
JALAN.NS,2026-09-02,1.850000023841858,1.875,1.741666664679845,1.8310000133514404,2.1546666693687437,2.442750000357628,1.8600311436966641,1.5,5.800000190734863,False,False,False,False,True,False,False,False,False,-68.10344891372388,dry,15.673981191222571,False,False,False,False,Jalan Transol.,Transport Services,Logistics Solution Provider
539026.BO,2026-09-02,6.679999828338623,6.512499888737996,7.444722308052911,7.7056001281738284,9.573466771443686,9.623950080871582,6.562042558910811,4.5,10.59000015258789,False,False,False,False,False,True,False,True,False,29.7087321289075,green,142.85714285714286,False,False,False,False,SSPN FINANCE,Finance,Other Financial Services
535917.BO,2026-09-02,4.400000095367432,4.400000095367432,4.111111137602064,4.13100004196167,4.342800048192342,4.523850009441376,4.384080901016999,3.299999952316284,5.28000020980835,False,False,False,False,True,True,True,True,False,3.2863816658137424,dry,0.0,False,False,False,False,GCM Commodity,Finance,Other Financial Services
539099.BO,2026-09-02,4.010000228881836,4.010000228881836,3.739166816075643,3.6498001050949096,3.9647333812713623,4.153200042247772,4.004283024961304,2.930000066757202,7.5,False,False,False,False,True,True,False,True,False,-38.30768878643329,dry,0.0,False,False,False,False,Athena Construc.,Realty,"Residential, Commercial Projects"
537582.BO,2026-09-02,1.1399999856948853,1.157500018676122,1.273888909154468,1.303600013256073,1.4344000029563904,1.516950005888939,1.1506668371569,1.100000023841858,2.799999952316284,False,False,False,False,False,False,False,False,False,-39.3617027347689,dry,0.0,False,False,False,False,Unishire Urban,Realty,"Residential, Commercial Projects"
543536.BO,2026-09-02,4.320000171661377,4.723333358764648,4.754166616333856,4.683199949264527,5.549266621271769,6.342749965190888,4.601372499395973,4.210000038146973,9.649999618530273,False,False,False,False,False,False,False,False,False,-55.233157073229734,dry,0.0,False,False,False,False,Silver Pearl,Leisure Services,Hotels & Resorts
