symbol,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,industry_group,industry,rs_percentile,cond8_rs_at_least_70,all_conditions_met,total_market_cap_cr,traded_value_cr,traded_volume,traded_val_pct_mc
ADANIENSOL.NS,1378.199951171875,1334.2833251953125,1275.723612467448,1195.4570007324219,1050.674666341146,995.5410006713868,1348.2742291272345,744.9000244140625,1463.6500244140625,True,True,True,True,True,True,True,True,False,55.045552178980415,noise,35.995113613744664,False,Power,Power Distribution,90.98758769562872,True,True,,,,
NESTLEIND.NS,1424.199951171875,1444.0749918619792,1380.7611117892795,1329.4400024414062,1291.5640665690105,1259.403109741211,1431.962012173794,1078.874971449518,1498.0999755859375,True,True,True,True,True,True,True,False,False,20.196422040559824,dry,17.502280788694137,False,Food Products,Packaged Foods,78.57528332433891,True,True,,,,
GOKULAGRO.NS,219.33999633789062,233.9041659037272,222.1308330959744,209.72920013427733,188.0027328491211,185.15304969787599,229.425122186064,119.20999908447266,249.9199981689453,True,True,True,True,True,True,True,False,False,76.00705464910327,dry,11.348722854626347,False,Agricultural Food & other Products,Edible Oil,94.38747976254722,True,True,,,,
APARINDS.NS,12585.0,12608.333333333334,11922.361111111111,11285.33,9687.006666666666,9371.715,12593.863604042075,6801.0,13149.0,True,True,True,True,True,True,True,False,False,68.99626470500297,noise,39.73241689539808,False,Electrical Equipment,Other Electrical Equipment,93.68591473286563,True,True,,,,
NLCINDIA.NS,341.6499938964844,342.77916717529297,312.8361121283637,298.8840014648438,267.6066944376628,262.57198570251467,343.7328686410315,216.33624791780156,387.79998779296875,True,True,True,True,True,True,True,False,False,45.78496731417594,noise,21.633639896356044,False,Power,Power Generation,89.2606583917971,True,True,,,,
AUBANK.NS,1001.9000244140625,993.7333424886068,994.6347249348959,965.4030029296875,957.8963338216146,901.941501159668,988.5679366157285,679.861584541776,1079.550048828125,True,True,True,True,True,True,True,True,False,44.77349763738403,noise,37.65158489970615,False,Banks,Other Bank,88.93685914732865,True,True,,,,
LLOYDSME.NS,1801.300048828125,1724.6500142415364,1662.2611185709636,1542.1640063476561,1349.444003092448,1346.636502685547,1729.5875718877082,1042.9000244140625,1846.0,True,True,True,True,True,True,True,True,False,36.46072414140369,noise,78.75938180274666,False,Minerals & Mining,Industrial Minerals,86.13059902860226,True,True,,,,
BHARATFORG.NS,1938.0,1922.3833312988281,1865.6444498697917,1824.9660034179688,1598.79814453125,1495.4317840576173,1909.3350661880013,1099.2431646909151,2044.0,True,True,True,True,True,True,True,True,False,58.80898383671222,noise,23.26507933224023,False,Auto Components,Auto Components & Equipments,91.85105234754452,True,True,,,,
RPTECH.NS,547.0999755859375,531.3291625976562,475.42083231608075,439.4659997558594,379.12599955240887,359.79155822753904,532.7522747644341,274.03069500955513,560.0,True,True,True,True,True,True,True,True,False,81.43947226063912,noise,22.408417862501935,False,IT - Hardware,Computers Hardware & Equipments,94.71127900701565,True,True,,,,
WELCORP.NS,1292.0,1313.7416687011719,1179.4124959309895,1076.6589965820312,906.915332845052,897.9764996337891,1299.8998196646487,710.0,1377.4000244140625,True,True,True,True,True,True,True,False,False,67.9339888864992,noise,35.32305085555281,False,Industrial Products,Iron & Steel Products,93.47004856988667,True,True,,,,
