rank,symbol,date,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,inside_bar,is_52w_high,is_52w_low,data_source,industry_group,industry,rs_percentile,cond8_rs_at_least_70,all_conditions_met,total_market_cap_cr,traded_value_cr,traded_volume,traded_val_pct_mc,price_band,rs_score,vcp_score,volume_score,newhigh_score,entry_score,group_score,entry_status,market_state,market_multiplier,minervini_score,grade
1,LLOYDSENGG.NS,2026-09-23,91.5199966430664,82.81749979654948,87.15877024332683,87.7960433959961,71.17561759948731,66.29789051055909,84.60761996371895,37.297425311917706,99.47641802454628,True,True,True,True,True,True,True,True,False,47.235192077484214,ppv,226.06281461745925,False,False,False,False,,Industrial Manufacturing,Industrial Products,87.81961878196188,True,True,14181.55,92.07,10060610.0,0.6493,20,42.8,43.0,87.5,78.0,100.0,94.23076923076923,actionable,confirmed_uptrend,1.0,71.4,A
2,MWL.NS,2026-09-23,44.630001068115234,40.73833338419596,40.58055538601346,39.501940689086915,34.79392603556315,32.934159927368164,41.6131172631053,19.98028894668577,48.0,True,True,True,True,True,True,True,True,True,87.48090255020462,ppv,226.90295848159775,False,False,True,False,,Metals & Minerals Trading,Trading - Metals,94.28172942817295,True,True,1325.54,6.12,1371307.0,0.4617,20,56.7,57.1,85.0,86.0,50.0,86.53846153846155,watch — approaching pivot,confirmed_uptrend,1.0,68.9,B
3,EBGNG.NS,2026-09-23,715.1500244140625,679.8166758219401,619.0541703965929,600.3500024414062,493.63600036621096,444.1707503509522,681.060500501789,239.0,730.0,True,True,True,True,True,True,True,True,False,90.02258876471478,green,179.53414614278174,False,False,True,False,,IT - Hardware,Computers Hardware & Equipments,94.42119944211994,True,True,8153.53,53.65,750184.0,0.658,10,57.0,70.0,84.0,95.9,50.0,53.84615384615385,actionable,confirmed_uptrend,1.0,67.6,B
4,GALAPREC.NS,2026-09-23,1164.199951171875,1039.1416676839192,1041.0333302815754,1068.4319934082032,936.8143326822917,892.6109991455078,1053.2887848635655,671.2000122070312,1260.0,True,True,True,True,True,True,True,True,False,40.63783140125381,ppv,333.28720500897873,True,False,False,False,,Industrial Manufacturing,Industrial Products,85.63458856345886,True,True,1492.06,5.64,48486.0,0.3783,20,56.5,43.6,90.0,78.8,50.0,94.23076923076923,watch — approaching pivot,confirmed_uptrend,1.0,67.3,B
5,PGIL.NS,2026-09-23,1300.800048828125,1177.6291605631511,1179.0083346896702,1134.3890014648437,924.5372672526041,890.3283694458008,1188.973669272333,594.6745299041222,1309.800048828125,True,True,True,True,True,True,True,True,False,93.23454927958336,ppv,264.0342107154735,False,False,True,False,,Textiles & Apparels,Garments & Apparels,94.70013947001394,True,True,12016.93,43.38,333473.0,0.361,20,71.5,37.1,87.5,98.6,50.0,69.23076923076923,watch — approaching pivot,confirmed_uptrend,1.0,67.2,B
6,SIGMAADV.NS,2026-09-23,936.7000122070312,843.2375030517578,755.433336046007,704.4080017089843,450.28300018310546,384.1505003356934,868.2540718562514,140.10000610351562,966.5999755859375,True,True,True,True,True,True,True,True,False,469.9075253885323,noise,87.23090648286231,False,False,False,False,,Aerospace & Defense,Aerospace & Defense,99.81403998140401,True,True,16508.37,30.78,328556.0,0.1864,5,69.6,63.8,95.2,87.8,0.0,80.76923076923077,extended,confirmed_uptrend,1.0,66.5,B
7,SHREEJISPG.NS,2026-09-23,723.75,702.8124949137369,666.0236070421007,655.0489953613281,501.82095906575523,465.56338943481444,703.3118088122935,221.4449392882965,728.9000244140625,True,True,True,True,True,True,True,True,False,187.01112792830386,noise,31.98945096262793,False,False,True,False,,Transport Services,Shipping,98.83774988377499,True,True,11791.21,75.74,1046555.0,0.6424,10,77.3,45.0,63.0,98.6,50.0,61.53846153846154,actionable,confirmed_uptrend,1.0,64.4,B
8,ARFIN.NS,2026-09-23,91.41999816894531,87.91166687011719,86.49805556403265,86.98299957275391,86.82933314005534,83.30380001068116,88.64217294533026,44.07618990588929,106.19999694824219,True,True,True,True,True,True,True,True,False,95.42103027145068,ppv,91.59296415937739,False,False,False,False,,Non - Ferrous Metals,Aluminium,95.07205950720595,True,True,1542.46,15.07,1648661.0,0.9771,20,58.5,45.0,84.0,66.2,50.0,82.6923076923077,actionable,confirmed_uptrend,1.0,63.7,B
9,MBAPL.NS,2026-09-23,167.50999450683594,161.88749821980795,163.2455554538303,160.0413998413086,123.8473752339681,113.92811466217042,162.9022485722892,74.56403046577304,174.94000244140625,True,True,True,True,True,True,True,True,False,98.41206152943025,noise,63.603182232294955,False,False,False,False,,Fertilizers & Agrochemicals,Fertilizers,95.25801952580196,True,True,7339.19,21.81,1301725.0,0.2971,20,71.4,55.4,54.3,85.5,50.0,71.15384615384616,watch — approaching pivot,confirmed_uptrend,1.0,63.6,B
10,SWANDEF.NS,2026-09-23,2776.199951171875,2664.308308919271,2527.2583279079863,2482.4999951171876,2140.056005859375,2004.5795001220704,2685.7182500931867,549.6500244140625,2804.89990234375,True,True,True,True,True,True,True,True,False,405.0850228072595,ppv,159.27266346428024,False,False,True,False,,Industrial Manufacturing,Ship Building & Allied Services,99.76754997675499,True,True,14625.62,5.9,21254.0,0.0403,5,69.5,34.4,87.5,98.0,0.0,94.23076923076923,extended,confirmed_uptrend,1.0,62.4,B
