symbol,date,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,inside_bar,is_52w_high,is_52w_low,name,industry_group,industry,rs_percentile,cond8_rs_at_least_70,all_conditions_met
542155.BO,2026-08-07,1.0,1.0466666618982952,1.0544444355699751,1.0687999987602235,1.282333333492279,1.4870000028610229,1.0308667854033644,0.9800000190734863,3.7899999618530273,False,False,False,False,False,False,False,False,False,-73.61477546002205,noise,86.20689655172413,False,False,False,False,Diksha Greens,Commercial Services & Supplies,Trading & Distributors,6.976744186046512,False,False
543400.BO,2026-08-07,2.569999933242798,2.5116666555404663,2.588888896836175,2.678600001335144,3.6774000040690105,4.129950006008148,2.553206318562491,2.309999942779541,8.600000381469727,False,False,False,False,False,False,False,True,False,-70.11628117156445,noise,245.9016393442623,False,False,False,False,Omnipotent,Petroleum Products,Refineries & Marketing,8.720930232558139,False,False
538765.BO,2026-08-07,2.4600000381469727,2.4483333230018616,3.0200000007947287,3.821399998664856,6.298266599973043,6.318649982213974,2.464446307345006,2.240000009536743,8.239999771118164,False,False,False,False,False,False,False,False,False,-59.73813446167622,dry,0.0,False,False,False,False,JLA Infraville,Retailing,Internet & Catalogue Retail,13.372093023255813,False,False
543613.BO,2026-08-07,5.0,5.392499963442485,5.356111168861389,5.6010000514984135,6.504266684850057,7.55289999961853,5.432688356655016,4.5,16.0,False,False,False,False,False,False,False,False,False,-67.29888808061162,noise,53.76344086021505,False,False,False,True,Mafia Trends,Retailing,Speciality Retail,9.883720930232558,False,False
539026.BO,2026-08-07,7.420000076293945,8.020000219345093,8.378055731455484,8.903800086975098,10.027933464050292,9.766000070571899,7.861808940579607,4.5,10.59000015258789,False,True,False,False,False,True,False,False,False,18.530348322675838,dry,0.0,False,False,False,False,SSPN FINANCE,Finance,Other Financial Services,88.95348837209302,True,False
535917.BO,2026-08-07,3.799999952316284,3.799999952316284,4.038611147138807,4.170600090026856,4.406400035222371,4.571450002193451,3.8103094371325703,3.299999952316284,5.28000020980835,False,False,False,False,False,False,False,False,False,-6.403940742059633,dry,0.0,False,False,False,False,GCM Commodity,Finance,Other Financial Services,77.90697674418605,True,False
539099.BO,2026-08-07,4.010000228881836,3.692500114440918,3.4811111423704357,3.6706000423431395,4.00793335278829,4.298350019454956,3.798219301471476,2.930000066757202,8.9399995803833,False,False,False,False,True,True,False,True,False,-46.53333028157552,dry,0.0,False,False,False,False,Athena Construc.,Realty,"Residential, Commercial Projects",30.23255813953488,False,False
537582.BO,2026-08-07,1.2599999904632568,1.3400000035762787,1.3666666713025835,1.3656000018119812,1.486800004641215,1.596450002193451,1.3215808587139275,1.1200000047683716,2.799999952316284,False,False,False,False,False,False,False,False,False,-37.00000047683716,dry,0.0,False,False,False,False,Unishire Urban,Realty,"Residential, Commercial Projects",42.44186046511628,False,False
543536.BO,2026-08-07,5.0,4.719166556994121,4.564444369739956,4.69399998664856,5.959133284886678,6.77134993314743,4.785720213953891,4.210000038146973,9.649999618530273,False,False,False,False,True,False,False,True,False,-42.72622838283482,noise,384.61538461538464,False,False,False,False,Silver Pearl,Leisure Services,Hotels & Resorts,35.46511627906977,False,False
537573.BO,2026-08-07,8.399999618530273,7.582499861717224,9.578888866636488,10.35200002670288,14.420466753641763,14.925550079345703,8.113759635001015,6.699999809265137,20.309999465942383,False,False,False,False,False,False,False,True,False,-38.50659068549217,dry,0.0,False,False,False,False,Polymac Thermof.,Industrial Products,Plastic Products - Industrial,40.116279069767444,False,False
538731.BO,2026-08-07,4.090000152587891,4.090000152587891,4.145277871025933,4.127000045776367,4.309999998410543,4.517000018358231,4.098892119765842,3.0799999237060547,6.599999904632568,False,False,False,False,False,True,False,False,False,-29.238754253894662,dry,0.0,False,False,False,False,Hanman Fit,Leisure Services,Amusement Parks/ Other Recreation,55.23255813953488,False,False
543366.BO,2026-08-07,53.0,48.477499643961586,44.65999995337592,43.919199829101565,40.446533279418944,40.50699989318848,49.6696367514141,30.549999237060547,54.5,True,False,True,True,True,True,True,True,False,43.24324324324324,green,181.8181818181818,False,False,True,False,SBL Infratech,Realty,"Residential, Commercial Projects",94.76744186046511,True,False
544156.BO,2026-08-07,11.800000190734863,9.954166571299234,11.535833332273695,11.846000022888184,14.88053331375122,16.569249987602234,10.411353211903274,9.029999732971191,28.350000381469727,False,False,False,False,False,True,False,True,False,-46.702798030554796,noise,31.05590062111801,False,False,False,False,Gconnect Logitec,Transport Services,Logistics Solution Provider,29.069767441860467,False,False
544173.BO,2026-08-07,12.489999771118164,12.207499901453653,14.66694442431132,16.588599910736082,16.57606658299764,17.614999923706055,12.396159934523041,10.369999885559082,35.5,False,False,False,False,False,False,False,True,False,-59.70967815768334,green,143.67816091954023,False,True,False,False,Finelistings Tec,Retailing,E-Retail/ E-Commerce,13.953488372093023,False,False
543500.BO,2026-08-07,1.9199999570846558,1.8125,2.146944443384806,2.342799997329712,2.8753333298365273,3.1492999947071074,1.8542911469121601,1.6299999952316284,6.110000133514404,False,False,False,False,False,False,False,True,False,-46.666666445908724,noise,99.4475138121547,False,False,False,False,Evoq Remedies,Commercial Services & Supplies,Trading & Distributors,29.651162790697676,False,False
543798.BO,2026-08-07,2.0999999046325684,2.120833327372869,2.1916666593816547,2.260000002384186,2.3848000009854635,2.727749997973442,2.156367286595998,1.4199999570846558,9.920000076293945,False,False,False,False,False,True,False,False,False,-63.85542297220893,dry,0.0,False,True,False,False,Patron Exim,Chemicals & Petrochemicals,Trading - Chemicals,10.465116279069768,False,False
543579.BO,2026-08-07,2.609999895095825,2.609999895095825,2.6111110051472983,2.5799999237060547,2.8588666566212972,3.0382999920845033,2.610067737648711,2.1700000762939453,5.599999904632568,False,False,False,False,True,False,False,False,False,-22.78107080692977,dry,0.0,False,False,False,False,Naturo Indiabull,Personal Products,Personal Care,59.883720930232556,False,False
542025.BO,2026-08-07,0.3199999928474426,0.30916666487852734,0.3058333338962661,0.3120000010728836,0.3557333332300186,0.37064999938011167,0.3157081526479565,0.27000001072883606,0.5099999904632568,False,False,False,False,True,False,False,True,True,-31.914894966153117,dry,0.0,False,True,False,False,Sun Retail,Commercial Services & Supplies,Trading & Distributors,52.32558139534884,False,False
543541.BO,2026-08-07,11.930000305175781,12.700000127156576,14.01333342658149,14.197200088500976,16.213800036112467,16.92535002708435,12.54176273199511,11.430000305175781,20.0,False,False,False,False,False,False,False,False,False,-16.9220014595999,dry,0.0,False,False,False,True,Sailani Tours N,Leisure Services,"Tour, Travel Related Services",66.86046511627907,False,False
