symbol,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,industry_group,industry,rs_percentile,cond8_rs_at_least_70,all_conditions_met,total_market_cap_cr,traded_value_cr,traded_volume,traded_val_pct_mc
CUMMINSIND.NS,5432.5,5323.25,5198.8721923828125,5037.01599609375,4582.756212565104,4408.438631591797,5355.6226611144975,2875.2792251600035,5470.5,True,True,True,True,True,True,True,True,False,85.0102850377229,noise,23.590968893190375,False,Industrial Products,"Compressors, Pumps & Diesel Engines",94.90603363006925,True,True,150588.9,369.18,679574,0.2452
UNIVPHOTO.NS,440.04998779296875,439.60416920979816,430.5250023735894,436.3500024414063,322.85053415934243,306.70615089416503,437.1424925011601,180.60000610351562,515.7999877929688,True,True,True,True,True,True,True,True,False,84.89495285418856,ppv,0.5544211596683658,False,Consumer Durables,Consumer Electronics,94.85657764589516,True,True,481.71,1.12,25393,0.232
SJS.NS,2014.9000244140625,1963.5333251953125,1817.2388848198784,1755.05599609375,1718.6219995117187,1633.5574993896485,1967.4353733411654,1063.0001556549378,2041.9000244140625,True,True,True,True,True,True,True,True,False,84.17079820217117,noise,31.19260069887597,False,Auto Components,Auto Components & Equipments,94.80712166172107,True,True,6453.75,25.5,126414,0.3951
PARIN.NS,673.8499755859375,656.6124979654948,639.861107720269,640.1839965820312,618.9280013020833,580.1689999389648,661.304322151914,311.6499938964844,725.0,True,True,True,True,True,True,True,True,False,82.81333815189822,green,271.2836347595942,False,Consumer Durables,"Furniture, Home Furnishing",94.75766567754698,True,True,257.33,0.46,19969,0.1796
RPTECH.NS,537.9000244140625,531.9625040690104,480.24027845594617,443.2410009765625,380.48833333333334,361.046131439209,533.7328646090463,274.03069500955513,560.0,True,True,True,True,True,True,True,True,False,78.56481604364518,noise,49.547620664933575,False,IT - Hardware,Computers Hardware & Equipments,94.51038575667656,True,True,3548.04,11.13,206645,0.3136
AVALON.NS,1515.0,1384.6166585286458,1187.356942070855,1114.3309985351561,1019.9636686197916,1005.9925012207032,1414.9537391125648,777.2999877929688,1558.5999755859375,True,True,True,True,True,True,True,True,False,74.83122974343117,noise,57.49523947187441,False,Electrical Equipment,Other Electrical Equipment,94.06528189910979,True,True,10108.99,65.79,434630,0.6508
WELCORP.NS,1319.0,1316.4666646321614,1192.683329264323,1086.50099609375,910.2453328450521,900.1119995117188,1304.205633945017,710.0,1377.4000244140625,True,True,True,True,True,True,True,True,False,72.95273400704122,noise,43.160266634880564,False,Industrial Products,Iron & Steel Products,93.91691394658753,True,True,34811.55,113.56,860241,0.3262
NAVINFLUOR.NS,7345.0,7073.875,6676.402777777777,6527.02,6137.42142578125,5803.8936450195315,7140.317779807878,4214.424568188132,7525.0,True,True,True,True,True,True,True,True,False,72.52652373258168,noise,43.00900300217667,False,Chemicals & Petrochemicals,Specialty Chemicals,93.81800197823937,True,True,37679.79,167.69,228248,0.445
HINDALCO.NS,1102.5,1075.5250040690105,1040.9861128065322,1001.0600024414063,919.3253356933594,872.3912796020508,1084.2547214213516,613.5008869488823,1119.800048828125,True,True,True,True,True,True,True,True,False,70.97763789961901,noise,63.73755688400355,False,Non - Ferrous Metals,Aluminium,93.71909000989119,True,True,246938.41,682.57,6180993,0.2764
BHEL.NS,416.3500061035156,405.46666463216144,354.64555655585394,327.01580078125,288.07886708577473,273.0670501708984,406.13218812690616,205.1199951171875,420.95001220703125,True,True,True,True,True,True,True,True,False,68.52804500551734,noise,37.69751109711525,False,Electrical Equipment,Heavy Electrical Equipment,93.52126607319485,True,True,145027.94,703.88,16899794,0.4853
