rank,symbol,date,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,inside_bar,is_52w_high,is_52w_low,data_source,industry_group,industry,rs_percentile,cond8_rs_at_least_70,all_conditions_met,total_market_cap_cr,traded_value_cr,traded_volume,traded_val_pct_mc,price_band,rs_score,vcp_score,volume_score,newhigh_score,entry_score,group_score,entry_status,market_state,market_multiplier,minervini_score,grade
1,PARAS.NS,2026-08-31,1432.9000244140625,1463.8744099934895,1315.355692545573,1304.3263598632811,948.6156811523438,882.2370483398438,1445.0323104497306,580.1009628646058,1583.9105379095645,True,True,True,True,True,True,True,False,False,121.03985351279674,noise,43.52881238751682,False,False,False,False,,Aerospace & Defense,Aerospace & Defense,96.51785714285714,True,True,11547.36,461.41,3220134.0,3.9958,10,81.9,27.1,74.0,74.9,100.0,85.1063829787234,actionable,under_pressure,0.85,61.1,B
2,TALBROAUTO.NS,2026-08-31,411.3999938964844,414.55416615804035,410.9583333333333,410.1929998779297,331.6397990926107,317.4730941772461,411.6150000907102,219.89999389648438,451.6000061035156,True,True,True,True,True,True,True,False,False,58.884736404594996,noise,60.64868270477638,False,False,False,False,,Auto Components,Auto Components & Equipments,89.73214285714286,True,True,2539.5,10.93,265705.0,0.4304,20,63.9,50.6,81.1,76.2,100.0,68.08510638297872,actionable,under_pressure,0.85,61.1,B
3,SIGMAADV.NS,2026-08-31,781.9500122070312,699.3416646321615,639.0902777777778,620.1409973144531,377.81079956054685,330.97870010375976,724.7404450481821,126.7300033569336,801.0,True,True,True,True,True,True,True,True,False,456.8255023785153,noise,78.91020197785308,False,False,True,False,,Aerospace & Defense,Aerospace & Defense,99.77678571428571,True,True,13781.06,32.48,415345.0,0.2357,5,69.5,70.0,95.2,95.2,0.0,85.1063829787234,extended,under_pressure,0.85,58.8,B
4,ROSSTECH.NS,2026-08-31,1109.949951171875,1086.5249837239583,1039.8180474175347,1019.0059936523437,902.8480004882813,843.1122494506836,1088.4824742351273,551.9000244140625,1172.0,True,True,True,True,True,True,True,True,False,65.25338979716331,noise,65.0966472957562,False,False,True,False,,Aerospace & Defense,Aerospace & Defense,90.98214285714286,True,True,4200.08,27.36,246539.0,0.6515,20,49.0,45.7,70.2,89.4,91.9,85.1063829787234,actionable,under_pressure,0.85,58.5,B
5,NETWEB.NS,2026-08-31,5188.60009765625,5286.958333333333,4773.689887152777,4709.36765625,4059.1242431640626,3851.745919189453,5249.019168834045,2189.335235128007,5813.0,True,True,True,True,True,True,True,False,False,135.18002208107674,noise,70.86178770062912,False,False,False,False,,IT - Services,IT Enabled Services,97.45535714285715,True,True,30844.1,1012.62,1951629.0,3.283,20,64.1,39.0,57.5,72.5,100.0,91.48936170212765,actionable,under_pressure,0.85,58.1,B
6,ICIL.NS,2026-08-31,469.45001220703125,427.7958348592122,412.56041547987195,415.6224481201172,327.82070424397784,316.0152018737793,433.87197764128916,216.04358355223812,474.6499938964844,True,True,True,True,True,True,True,True,False,104.07488091161864,ppv,200.47546680206426,False,False,True,False,,Textiles & Apparels,Other Textile Products,95.49107142857143,True,True,9297.66,63.73,1357525.0,0.6854,20,89.5,41.7,85.0,97.8,22.6,73.40425531914893,actionable,under_pressure,0.85,57.5,B
7,PIXTRANS.NS,2026-08-31,1818.5999755859375,1840.1666768391926,1816.4750027126736,1802.8108374023439,1592.097118326823,1544.837240600586,1831.6017902563524,1245.9203610210297,2089.0,True,True,True,True,True,True,True,False,False,32.87820660273433,dry,10.571488305582449,False,False,False,False,,Industrial Products,Rubber,81.5625,True,True,2477.88,19.61,107804.0,0.7912,20,47.0,52.0,86.5,68.1,100.0,53.191489361702125,actionable,under_pressure,0.85,56.5,B
8,MARINE.NS,2026-08-31,400.8500061035156,379.05416615804035,316.53333367241754,303.58300048828124,240.51646687825522,233.32445014953612,380.2897190978658,150.86000061035156,412.1499938964844,True,True,True,True,True,True,True,True,False,141.24399854023633,red,173.35640383132585,False,True,False,False,,Industrial Manufacturing,Industrial Products,97.63392857142857,True,True,5317.89,43.18,1077135.0,0.8119,20,94.5,45.4,77.0,88.5,0.0,89.36170212765957,extended,under_pressure,0.85,56.0,B
9,RBLBANK.NS,2026-08-31,380.3500061035156,384.8374989827474,377.7014685736762,374.6511505126953,340.18962422688804,331.830672454834,384.0261059640249,249.94168003454723,394.5,True,True,True,True,True,True,True,False,False,46.60846781422228,noise,44.61062008167345,False,False,False,False,,Banks,Private Sector Bank,86.65178571428571,True,True,58958.36,189.21,4974713.0,0.3209,No Band,38.9,55.4,71.6,86.8,100.0,57.446808510638306,actionable,under_pressure,0.85,55.9,B
10,RPTECH.NS,2026-08-31,816.0999755859375,832.5708312988281,819.3097076416016,804.3259216308594,564.8349796549479,510.174216003418,823.6476295703316,275.91551229187843,965.4798808795799,True,True,True,True,True,True,True,False,False,189.29324705657086,noise,37.328445757912924,False,True,False,False,,IT - Hardware,Computers Hardware & Equipments,98.70535714285714,True,True,5378.07,113.22,1387319.0,2.1052,20,73.3,37.1,96.5,63.1,68.7,55.319148936170215,actionable,under_pressure,0.85,55.8,B
