symbol,date,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,inside_bar,is_52w_high,is_52w_low,name,industry_group,industry
542155.BO,2026-08-28,0.9300000071525574,0.9425000051657358,1.015000002251731,1.0221999955177308,1.1776666680971781,1.409700003862381,0.9410000689756719,0.9100000262260437,2.3499999046325684,False,False,False,False,False,False,False,False,False,-60.425530004522855,dry,0.0,False,False,False,False,Diksha Greens,Commercial Services & Supplies,Trading & Distributors
543400.BO,2026-08-28,2.25,2.403333365917206,2.4908333486980863,2.532400016784668,3.396400006612142,3.8357000064849855,2.3990779093922887,2.1600000858306885,8.170000076293945,False,False,False,False,False,False,False,False,False,-71.15384685922655,noise,91.57509157509158,False,False,False,True,Omnipotent,Petroleum Products,Refineries & Marketing
538765.BO,2026-08-28,2.3399999141693115,2.393333355585734,2.4977777865197925,2.804800009727478,5.730399943987528,6.021949976682663,2.383819159103157,2.240000009536743,8.239999771118164,False,False,False,False,False,False,False,False,False,-59.72461381729652,dry,0.0,False,False,False,False,JLA Infraville,Retailing,Internet & Catalogue Retail
543613.BO,2026-08-28,3.940000057220459,4.454999923706055,5.016944421662225,5.109000024795532,6.258533344268799,7.0638000011444095,4.37952146777288,3.5999999046325684,16.0,False,False,False,False,False,False,False,False,False,-71.97724082765092,red,1413.7931034482758,False,False,False,True,Mafia Trends,Retailing,Speciality Retail
JALAN.NS,2026-08-28,1.899999976158142,1.8249999980131786,1.741666664679845,1.8540000128746033,2.1893333355585733,2.4627499997615816,1.8572036291251357,1.5,7.0,False,False,False,False,True,False,False,True,False,-70.31250081490724,dry,0.0,False,False,False,False,Jalan Transol.,Transport Services,Logistics Solution Provider
539026.BO,2026-08-28,6.369999885559082,6.730833252271016,7.590277896987067,7.891400117874145,9.655800110499063,9.65420007944107,6.617721164130417,4.5,10.59000015258789,False,True,False,False,False,True,False,False,False,23.689315875723473,dry,0.0,False,False,False,False,SSPN FINANCE,Finance,Other Financial Services
535917.BO,2026-08-28,4.400000095367432,4.400000095367432,4.077777796321445,4.1376000499725345,4.344400046666463,4.536150004863739,4.370935009386053,3.299999952316284,5.28000020980835,False,False,False,False,True,True,True,True,False,3.2863816658137424,dry,0.0,False,False,False,False,GCM Commodity,Finance,Other Financial Services
539099.BO,2026-08-28,4.010000228881836,4.010000228881836,3.6608334647284613,3.6322000932693483,3.9691333770751953,4.193500039577484,3.9995618222724723,2.930000066757202,7.5,False,False,False,False,True,True,False,True,False,-38.30768878643329,dry,0.0,False,False,False,False,Athena Construc.,Realty,"Residential, Commercial Projects"
537582.BO,2026-08-28,1.100000023841858,1.1858333547910054,1.3008333577050104,1.3140000104904175,1.445000003973643,1.5299000054597856,1.1683642835222274,1.100000023841858,2.799999952316284,False,False,False,False,False,False,False,False,False,-40.860214226782595,red,175.43859649122805,False,False,False,True,Unishire Urban,Realty,"Residential, Commercial Projects"
543536.BO,2026-08-28,4.519999980926514,4.8766666650772095,4.775277707311842,4.6725999450683595,5.6069332853953044,6.415199961662292,4.78928220062406,4.210000038146973,9.649999618530273,False,False,False,False,False,False,False,False,False,-53.16062010772469,red,1000.0,False,False,False,False,Silver Pearl,Leisure Services,Hotels & Resorts
537573.BO,2026-08-28,10.15999984741211,9.823333263397217,8.969999922646416,9.53839994430542,13.54733336130778,14.29095006942749,9.880083395323583,6.699999809265137,20.309999465942383,False,False,False,False,True,True,False,True,False,-46.63865882944097,dry,0.0,False,False,False,False,Polymac Thermof.,Industrial Products,Plastic Products - Industrial
538731.BO,2026-08-28,4.039999961853027,3.8150000174840293,4.033333447244432,4.064000082015991,4.169333335558574,4.334750007390976,3.8648234644950357,3.0199999809265137,6.599999904632568,False,False,False,False,False,True,False,True,False,-30.103809425519312,noise,74.6268656716418,False,False,False,False,Hanman Fit,Leisure Services,Amusement Parks/ Other Recreation
543366.BO,2026-08-28,47.0,48.99583339691162,47.580833223130966,46.29619995117187,42.08953323364258,40.93049991607666,48.39788950094342,30.549999237060547,54.599998474121094,True,True,False,True,True,True,True,False,False,26.005364507626382,ppv,205.47945205479454,False,False,False,False,SBL Infratech,Realty,"Residential, Commercial Projects"
544156.BO,2026-08-28,12.260000228881836,12.50166662534078,11.014722188313803,11.733799972534179,14.215533307393391,15.566599960327148,12.544802496218882,9.029999732971191,28.350000381469727,False,False,False,False,True,True,False,False,False,-46.695651178774625,noise,67.56756756756756,False,False,False,False,Gconnect Logitec,Transport Services,Logistics Solution Provider
PERFECT.NS,2026-08-28,8.100000381469727,8.100000381469727,8.100000381469727,8.100000381469727,8.100000381469727,8.100000381469727,8.100000381469728,8.100000381469727,8.100000381469727,False,False,False,False,False,False,True,False,False,0.0,dry,,False,False,True,True,Perfect Infraeng,Electrical Equipment,Other Electrical Equipment
544173.BO,2026-08-28,10.010000228881836,11.49749986330668,12.10805540614658,13.67919994354248,16.122666549682616,16.561249918937683,11.143791658419191,9.930000305175781,35.5,False,False,False,False,False,False,False,False,False,-64.70380813310656,red,267.85714285714283,False,False,False,True,Finelistings Tec,Retailing,E-Retail/ E-Commerce
543500.BO,2026-08-28,1.690000057220459,1.7516666849454243,1.8700000080797408,2.025800006389618,2.741466666062673,2.8855500024557115,1.7359636757424282,1.6200000047683716,6.110000133514404,False,False,False,False,False,False,False,False,False,-47.678017113286906,dry,0.0,False,True,False,True,Evoq Remedies,Commercial Services & Supplies,Trading & Distributors
543798.BO,2026-08-28,2.059999942779541,1.9941666722297668,2.1147222088442907,2.1349999928474426,2.280733335018158,2.515399999022484,2.0381700185543115,1.4199999570846558,9.920000076293945,False,False,False,False,False,True,False,True,False,-62.88288518947274,red,357.14285714285717,False,False,False,False,Patron Exim,Chemicals & Petrochemicals,Trading - Chemicals
543579.BO,2026-08-28,2.4800000190734863,2.5558332800865173,2.5922221342722573,2.5999999046325684,2.7378666528066,2.9311499881744383,2.5276675356555014,2.1700000762939453,5.599999904632568,False,False,False,False,False,False,False,False,False,-34.04255251692344,dry,0.0,False,False,False,False,Naturo Indiabull,Personal Products,Personal Care
542025.BO,2026-08-28,0.3100000023841858,0.3016666720310847,0.301111113693979,0.3046000021696091,0.3464000004529953,0.3604999998211861,0.30623544232744065,0.27000001072883606,0.49000000953674316,False,False,False,False,True,False,False,True,False,-34.04255251692344,noise,83.61204013377926,False,False,False,False,Sun Retail,Commercial Services & Supplies,Trading & Distributors
543541.BO,2026-08-28,13.75,12.454999844233194,13.013333320617676,13.477200012207032,15.540800018310547,16.40560001373291,12.985910197926117,11.430000305175781,20.0,False,False,False,False,True,False,False,True,False,-1.7857142857142905,dry,0.0,False,False,False,False,Sailani Tours N,Leisure Services,"Tour, Travel Related Services"
534659.BO,2026-08-28,5.699999809265137,5.699999809265137,5.6722220579783125,5.623999881744385,5.349333248138428,5.2153499007225035,5.699602211666949,4.510000228881836,5.699999809265137,True,True,True,True,True,False,True,True,False,9.615384968074835,dry,0.0,False,False,True,False,Jointeca Educati,IT - Software,Computers - Software & Consulting
