symbol,date,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,inside_bar,is_52w_high,is_52w_low,data_source,industry_group,industry,rs_percentile,cond8_rs_at_least_70,all_conditions_met
ASHOKLEY.NS,2026-08-04,172.0800018310547,158.6975008646647,158.58722305297852,155.76403717041015,170.27770497639975,165.1361994934082,162.84613370168736,112.27037727837337,211.80679384961218,True,True,True,False,True,True,True,True,True,45.561719815662485,noise,61.01973424754157,False,False,False,False,,"Agricultural, Commercial & Construction Vehicles",Commercial Vehicles,89.24512987012987,True,False
ATUL.NS,2026-08-04,6793.5,6473.208333333333,6425.9812418619795,6501.064072265625,6441.185598958334,6296.641623535156,6600.141246417864,5533.215936920114,7144.769440445724,True,True,False,True,True,False,True,True,True,1.3734991254013451,green,183.2134730977655,False,False,False,False,,Chemicals & Petrochemicals,Specialty Chemicals,64.77272727272727,False,False
DHAMPURSUG.NS,2026-08-04,151.3800048828125,142.0541674296061,141.7083337571886,141.7576007080078,132.58771784464517,131.53884857177735,141.802673097674,108.4862046974501,164.94834873375777,True,True,False,True,True,True,True,True,True,8.383236018817763,ppv,712.3576386287687,True,False,False,False,,Agricultural Food & other Products,Sugar,70.94155844155844,True,False
DOLLEX.NS,2026-07-31,30.25,30.104166825612385,29.990277979109024,30.335000228881835,32.54233336130778,34.48925004005432,30.048609348017358,26.0,43.54999923706055,False,False,False,False,False,False,False,True,True,-29.48718199519864,green,116.95906432748538,False,False,False,False,,Agricultural Food & other Products,Sugar,24.512987012987015,False,False
DOLPHIN.NS,2026-08-04,402.3999938964844,381.98333231608075,381.44444274902344,385.8189984130859,408.95499918619794,401.99374908447265,385.2513818592804,322.0,501.95001220703125,False,True,False,False,True,False,True,True,True,-8.545455932617186,green,116.51723513622014,False,False,False,False,,Oil,Offshore Support Solution Drilling,53.327922077922075,False,False
GATECHDVR.NS,2026-08-04,0.5099999904632568,0.45333332816759747,0.4522222222553359,0.46040000081062316,0.463133331934611,0.47434999749064444,0.47050739466219216,0.36000001430511475,0.6700000166893005,True,False,False,False,True,True,True,True,True,-7.272731016490008,noise,65.9925482437932,False,True,False,False,,Finance,Other Financial Services,54.6672077922078,False,False
GENUSPAPER.NS,2026-08-04,12.5,12.013333400090536,11.969722270965576,12.07060001373291,12.329200013478596,12.97560000896454,12.13367811729318,8.670000076293945,20.700000762939453,False,False,False,False,True,True,False,True,True,-31.693986223314052,green,125.42533384694401,False,False,False,False,,"Paper, Forest & Jute Products",Paper & Paper Products,21.996753246753247,False,False
GFLLIMITED.NS,2026-08-04,48.369998931884766,46.334166526794434,46.28111118740506,46.383600006103514,47.42133349100749,51.078600120544436,46.71598813169024,37.25,81.0,False,False,False,False,True,False,False,True,True,-21.540960689870502,green,128.41725825125008,False,False,False,False,,Finance,Holding Company,35.673701298701296,False,False
GOKULAGRO.NS,2026-08-04,231.1199951171875,216.33666483561197,215.6669438680013,220.32779968261718,198.78319966634115,196.08109954833984,219.94258367500217,142.5,249.9199981689453,True,True,True,True,True,True,True,True,True,49.834680789100496,green,204.93510238431685,False,False,False,False,,Agricultural Food & other Products,Edible Oil,90.3814935064935,True,True
GRAPHISAD.NS,2026-07-31,29.799999237060547,28.779166380564373,28.661111036936443,29.386999855041505,35.81400001525879,35.914000005722045,29.007707422418292,26.049999237060547,52.79999923706055,False,False,False,False,True,False,False,True,True,-25.685784610958894,dry,0.0,False,True,False,False,,Media,Advertising & Media Agencies,29.788961038961038,False,False
INDGN.NS,2026-08-04,553.75,511.7063725789388,511.66282908121747,512.4308367919922,495.16315388997396,503.0350274658203,521.7199678503337,412.19021062389317,594.1911109088581,True,False,False,True,True,True,True,True,True,2.427502824968464,ppv,390.87289306700245,False,False,False,False,,Healthcare Services,"Healthcare Research, Analytics & Technology",65.6655844155844,False,False
JAGSNPHARM.NS,2026-08-04,236.5,227.2974993387858,227.1813884311252,221.0802001953125,198.12980010986328,201.00189987182617,230.6859127214075,155.0,289.00483729920376,True,False,False,True,True,True,True,True,True,-16.180713445241178,dry,18.274565464425205,False,False,False,False,,Pharmaceuticals & Biotechnology,Pharmaceuticals,43.18181818181818,False,False
JINDALSTEL.NS,2026-08-04,1124.0,1069.558329264323,1067.2111138237847,1098.3520043945311,1147.8660021972655,1119.495001525879,1084.1134834280397,939.6857992025602,1306.199951171875,False,True,False,False,True,False,True,True,True,16.70775119512915,noise,64.89613979212943,False,False,False,False,,Ferrous Metals,Iron & Steel,76.98863636363636,True,False
MARUTI.NS,2026-08-04,14168.0,13810.083333333334,13806.861111111111,13628.04,14037.666666666666,14556.065,13970.481578865083,12201.0,17370.0,False,False,False,False,True,False,True,True,True,13.58935300248536,green,126.64015391819889,False,True,False,False,,Automobiles,Passenger Cars & Utility Vehicles,74.83766233766234,True,False
PRUDENT.NS,2026-08-04,3300.60009765625,3014.1249796549478,2997.331095377604,2915.495537109375,2646.582472330729,2631.070186767578,3108.382212011443,2118.407683707669,3394.5,True,True,False,True,True,True,True,True,True,10.00795323038346,green,113.54156703967013,False,False,True,False,,Capital Markets,Financial Products Distributor,72.19967532467533,True,False
RCDL.NS,2026-07-31,32.099998474121094,26.34166669845581,26.26944457160102,26.37500011444092,23.816666615804035,23.552249975204468,27.616253862617743,16.5,35.0,True,True,False,True,True,True,True,True,True,47.757212293589866,red,395.09536784741147,False,False,False,False,,Agricultural Food & other Products,Edible Oil,89.8538961038961,True,False
RAJOOENG.NS,2026-08-04,51.470001220703125,52.91250038146973,52.82666662004259,53.322600021362305,59.09253349304199,63.47459995269775,52.43951677212828,46.0,112.44309897780731,False,False,False,False,False,False,False,False,True,-53.64120516665704,noise,69.09700714762447,False,False,False,False,,Industrial Manufacturing,Industrial Products,5.3977272727272725,False,False
SADHAV.NS,2026-07-31,119.9000015258789,116.5666675567627,116.43750021192763,116.54699996948243,110.13666651407878,108.52124984741211,117.12752122352161,86.30000305175781,129.39999389648438,True,True,False,True,True,True,True,True,True,-0.8271298489487156,noise,30.156815440289503,False,False,False,False,,Transport Services,Shipping,62.13474025974026,False,False
SHREYANIND.NS,2026-08-04,140.85000610351562,138.69000116984049,138.5766660902235,139.50419982910157,153.0981330871582,164.07555019378663,139.55281391018232,122.0,247.22000122070312,False,False,False,False,True,False,False,True,True,-38.59920655034319,dry,16.271393743157688,False,False,False,False,,"Paper, Forest & Jute Products",Paper & Paper Products,14.650974025974026,False,False
TIRUMALCHM.NS,2026-08-04,185.36000061035156,171.14916610717773,170.41222169664172,173.92099975585938,189.90706614176432,205.53414962768554,174.56292374221374,158.0,328.79998779296875,False,False,False,False,True,False,False,True,True,-38.20303615043278,ppv,177.05461740917912,False,False,False,False,,Chemicals & Petrochemicals,Commodity Chemicals,15.056818181818182,False,False
UEL.NS,2026-08-04,202.91000366210938,136.68083381652832,133.57249959309897,135.1999996948242,146.08540033976237,142.62640033721925,150.57589792938998,92.31666564941406,220.0,True,True,True,False,True,True,True,True,True,117.55898411144435,ppv,756.0177909382718,True,False,False,False,,Power,Power Generation,97.40259740259741,True,False
UMIYA-MRO.NS,2026-08-04,93.05999755859375,89.86166699727376,89.80666711595323,88.80440032958984,85.80106699625651,87.2774503326416,89.99882615334793,70.0,110.9000015258789,True,False,False,True,True,True,True,True,True,14.436790344106143,green,302.460681221646,False,False,False,False,,Telecom -  Equipment & Accessories,Telecom -  Equipment & Accessories,75.48701298701299,True,False
VARDHACRLC.NS,2026-08-04,44.529998779296875,44.315000216166176,44.267499923706055,44.212799911499026,39.43573331197103,39.385900020599365,44.75188489317044,27.010000228881836,48.65395168373928,True,True,False,True,True,True,True,False,True,-7.353667960838495,noise,67.62706303061813,False,False,False,False,,Textiles & Apparels,Other Textile Products,54.46428571428571,False,False
WESTLIFE.NS,2026-08-04,542.5499877929688,490.7041651407878,487.52638753255206,475.1419982910156,482.8846669514974,503.4292497253418,502.097484783831,398.3999938964844,775.0,True,False,False,False,True,True,False,True,True,-27.676128532537504,green,106.25526073308322,False,False,False,False,,Leisure Services,Restaurants,26.988636363636363,False,False
ANDREWYU.NS,2026-08-04,27.889999389648438,26.71666653951009,26.659999953375923,25.88759994506836,23.189133313496907,23.57329997062683,27.31501451566487,15.5,32.75,True,False,False,True,True,True,True,True,True,-5.1360552669194925,noise,24.336803596484447,False,True,False,False,BSE,Agricultural Food & other Products,Tea & Coffee,56.899350649350644,False,False
