symbol,date,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,inside_bar,is_52w_high,is_52w_low,data_source,industry_group,industry,rs_percentile,cond8_rs_at_least_70,all_conditions_met
AETHER.NS,2026-09-25,1767.0,1647.8083190917969,1640.5861036512588,1600.293994140625,1310.6673364257813,1219.6475024414062,1661.8630851430037,728.0,1798.0,True,True,True,True,True,True,True,True,True,138.59034002830066,ppv,554.283929441789,True,False,True,False,,Chemicals & Petrochemicals,Specialty Chemicals,97.24473257698541,True,True
AGNI.NS,2026-09-24,15.949999809265137,15.887500127156576,15.84305567211575,16.239000129699708,17.770666643778483,18.752000007629395,15.716165641419517,13.600000381469727,29.299999237060547,False,False,False,False,False,False,False,True,True,-43.43971851863676,green,263.15789473684214,False,False,False,False,,Construction,Civil Construction,12.884927066450565,False,False
AGSTRA.NS,2026-09-25,2.4000000953674316,2.0341666539510093,2.01111110051473,2.0547999858856203,2.5243999846776326,2.890549989938736,2.126650943337762,1.850000023841858,5.440000057220459,False,False,False,False,True,False,False,True,True,-41.74756888271727,ppv,353.1586213955914,True,False,False,False,,Financial Technology (Fintech),Financial Technology (Fintech),14.100486223662884,False,False
AJMERA.NS,2026-09-25,120.81999969482422,117.12668228149414,117.04006979200575,119.15314819335937,121.33143086751302,133.21916007995605,118.36622140673934,97.172872635822,219.46418351965167,False,False,False,False,True,False,False,True,True,-40.952566355341325,noise,51.83468024074356,False,False,False,False,,Realty,"Residential, Commercial Projects",14.991896272285251,False,False
ALUWIND.NS,2026-09-24,50.599998474121094,48.97083346048991,48.93055587344699,48.82900024414062,51.812666702270505,55.58600004196167,49.79120538699068,40.0,93.0,False,False,False,False,True,False,False,True,True,-43.99557351557186,red,168.6217008797654,False,True,False,False,,Industrial Products,"Aluminium, Copper & Zinc Products",12.236628849270664,False,False
ASHIANA.NS,2026-09-25,389.70001220703125,365.59442647298175,364.80734168158637,370.1014196777344,353.8259098307292,339.43255737304685,375.8706917137296,267.64283553700096,434.28772937264273,True,True,True,True,True,True,True,True,True,31.19256525909826,dry,8.795395399239668,False,False,False,False,,Realty,"Residential, Commercial Projects",82.53646677471636,True,True
ASKAUTOLTD.NS,2026-09-25,645.1500244140625,635.5750071207682,633.665281507704,605.7243975830078,494.3253369140625,485.16429138183594,641.2253017743683,373.9332517882958,687.7000122070312,True,True,True,True,True,True,True,True,True,13.101848864732268,dry,14.879791949894614,False,False,False,False,,Auto Components,Auto Components & Equipments,73.29821717990276,True,True
CENTRALBK.NS,2026-09-25,31.18000030517578,31.01166645685832,30.95888884862264,31.051199989318846,32.87626740773519,33.80074458122253,31.14484921519175,29.31999969482422,40.260706628503506,False,False,False,False,True,False,True,True,True,-14.139860748092959,noise,47.779170008528304,False,False,False,False,,Banks,Public Sector Bank,47.64991896272285,False,False
CHEMPLASTS.NS,2026-09-25,197.47000122070312,179.8941650390625,178.44333267211914,184.3759994506836,214.82439931233725,228.00779937744142,186.14597300052213,161.0,423.8999938964844,False,False,False,False,True,False,False,True,True,-52.684797332499734,noise,58.785192325841784,False,False,False,False,,Chemicals & Petrochemicals,Specialty Chemicals,6.9692058346839545,False,False
DELTACORP.NS,2026-09-25,76.83999633789062,60.63666693369547,59.67673948076036,60.48278701782227,62.87296585083008,64.05736276626587,64.83652509947089,47.901091163726164,85.68642021255008,True,False,False,False,True,True,True,True,True,-5.6848458923031036,ppv,1073.3548160477194,True,False,False,False,,Leisure Services,Amusement Parks/ Other Recreation,57.090761750405186,False,False
DBL.NS,2026-09-25,412.45001220703125,411.17409261067706,410.60870191786023,415.5312805175781,429.43170084635415,436.4138424682617,412.34565935803585,380.60403377874786,583.54966187393,False,False,False,False,False,False,False,True,True,-25.520113020702684,dry,12.644370112478176,False,False,False,False,,Construction,Civil Construction,32.982171799027554,False,False
LALPATHLAB.NS,2026-09-25,1952.300048828125,1918.8750101725261,1917.8805609809028,1888.9774658203125,1636.6584619140624,1580.8235510253905,1927.2700242737317,1266.16157090969,2038.5999755859375,True,True,True,True,True,True,True,True,True,20.91392091836639,red,126.48113403581141,False,False,False,False,,Healthcare Services,Healthcare Service Provider,78.36304700162074,True,True
DRREDDY.NS,2026-09-25,1201.0,1178.4083353678386,1175.7444458007812,1173.5580029296875,1244.7653255208334,1242.6082037353515,1188.652856780041,1101.0,1405.9838095385528,False,True,False,False,True,False,True,True,True,-5.2214282631614655,noise,57.930589707401204,False,False,False,False,,Pharmaceuticals & Biotechnology,Pharmaceuticals,57.53646677471637,False,False
GLOBE.NS,2026-09-25,2.240000009536743,2.004999985297521,1.9794444342454274,2.017999999523163,2.2640000065167745,2.3839500087499617,2.1052173749825953,1.75,3.2899999618530273,False,False,False,False,True,False,False,True,True,0.448430061781413,noise,63.2630830765591,False,True,False,False,,Textiles & Apparels,Other Textile Products,63.6547811993517,False,False
HDFCBANK.NS,2026-09-25,735.5999755859375,722.6833292643229,720.1180538601345,727.9209997558594,765.8969864908854,808.5307244873047,727.6667085959691,681.9000244140625,1003.8961237048558,False,False,False,False,True,False,False,True,True,-21.27531421268227,noise,68.87085673596535,False,False,False,False,,Banks,Private Sector Bank,39.18152350081037,False,False
ITDC.NS,2026-09-25,679.7000122070312,674.5468393961588,670.8944651285807,685.5724963378906,599.8540920003255,587.4125708007813,676.2808202019758,366.4286134130398,818.4899820798453,True,True,True,True,False,True,True,True,True,12.624127232176496,dry,10.728406904674502,False,False,False,False,,Leisure Services,Hotels & Resorts,72.81199351701783,True,False
INCREDIBLE.NS,2026-09-25,32.7400016784668,32.6233336130778,32.61861122979058,32.76620002746582,33.71773328145345,34.80860000610352,32.58668384190388,28.100000381469727,48.849998474121094,False,False,False,False,False,False,False,True,True,-29.682129053269346,green,130.015616587692,False,False,False,False,,Industrial Products,Iron & Steel Products,27.55267423014587,False,False
KRISHCA.NS,2026-09-24,216.6999969482422,167.20833333333334,165.5430547926161,165.6929995727539,171.71566650390625,175.3014998626709,175.6808424705197,138.0,230.8000030517578,True,False,False,False,True,True,True,True,True,0.09237734329892167,ppv,1707.686482393033,False,False,False,False,,Industrial Products,Iron & Steel Products,63.37115072933549,False,False
KIMS.NS,2026-09-25,780.1500244140625,783.5999959309896,782.1944410536024,786.7529968261719,748.6493334960937,720.1912496948243,786.4755812667481,575.7999877929688,858.0,True,True,True,True,False,True,True,False,True,6.490588371927553,noise,62.13130633504218,False,False,False,False,,Healthcare Services,Hospital,68.15235008103727,False,False
MEGAFLEX.NS,2026-09-24,99.0,97.13333384195964,96.8500001695421,97.73200012207032,123.21133316040039,120.58824989318848,97.21101071275325,43.5,155.0500030517578,False,True,False,False,True,True,False,True,True,50.45592007363177,dry,0.0,False,False,False,False,,Industrial Products,Packaging,88.24959481361427,True,False
PGIL.NS,2026-09-25,1329.0999755859375,1200.9916585286458,1191.2222222222222,1145.545,931.5918855794271,895.5720864868164,1227.0402168140204,594.6744698202933,1355.0,True,True,True,True,True,True,True,True,True,106.10195395788912,ppv,158.3233193875852,False,False,True,False,,Textiles & Apparels,Garments & Apparels,95.66450567260941,True,True
POWERGRID.NS,2026-09-25,269.5,267.3125,267.01233164469403,271.729443359375,288.07665649414065,282.79659172058103,267.413442521732,246.07771802547202,323.4425459044702,False,True,False,False,False,False,True,True,True,-2.1091647065722308,noise,72.75182093075378,False,True,False,False,,Power,Power - Transmission,61.102106969205835,False,False
PRESSTONIC.NS,2026-09-24,47.75,33.54583342870077,33.38194444444444,31.320000038146972,35.04800003051758,40.217819175720216,36.84940737241811,24.0,86.0,True,False,False,False,True,True,False,True,True,-43.591259138486805,ppv,563.0149527006408,True,False,False,False,,Industrial Manufacturing,Industrial Products,12.682333873581847,False,False
PRIMO.NS,2026-09-25,25.280000686645508,22.37166690826416,22.27444447411431,22.585800018310547,22.3834667078654,22.347700052261352,22.691485574946324,16.100000381469727,26.899999618530273,True,True,False,True,True,True,True,True,True,-2.544332435712826,ppv,574.2896567100585,True,False,False,False,,Chemicals & Petrochemicals,Commodity Chemicals,60.656401944894654,False,False
PROTEAN.NS,2026-09-25,690.7000122070312,550.7291717529297,538.3414662679037,553.1980236816406,555.2529907226562,586.8267370605469,589.6721593370415,436.0272875280249,894.8870609456022,True,False,False,False,True,True,True,True,True,-22.05580691842136,ppv,414.76320282277095,True,False,False,False,,IT - Services,IT Enabled Services,37.96596434359806,False,False
