symbol,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,inside_bar,is_52w_high,is_52w_low,industry_group,industry,rs_percentile,cond8_rs_at_least_70,all_conditions_met
LT.NS,4216.39990234375,4130.908304850261,4005.435268825955,4006.77005859375,3952.3379671223956,3902.397780761719,4155.614972587575,3256.294765660181,4397.052414797838,True,True,True,True,True,False,True,True,False,18.804117646411388,ppv,138.62506579065717,False,False,False,False,Construction,Civil Construction,76.41921397379913,True,False
MARUTI.NS,13745.0,13450.583333333334,13258.888888888889,13279.12,14471.3,14826.31,13449.418136253968,12136.640487158153,17370.0,False,False,False,False,True,False,True,True,False,9.408359631725594,ppv,230.7291938215399,False,False,False,False,Automobiles,Passenger Cars & Utility Vehicles,67.92819019893255,False,False
MOTHERSON.NS,151.7100067138672,145.26166788736978,139.26666726006403,135.15740020751954,123.87017339070638,119.23575824737549,145.83413892813067,89.42248454216111,155.25,True,True,True,True,True,True,True,True,False,54.185237836849545,ppv,326.8198160336026,True,False,True,False,Auto Components,Auto Components & Equipments,90.68413391557496,True,True
REDINGTON.NS,286.3999938964844,259.2816683451335,236.95805655585394,232.53040008544923,249.24013244628907,255.089499130249,268.48454039223503,191.30999755859375,327.511218461602,True,False,False,False,True,True,True,True,False,1.0610339508250188,ppv,82.8930484801819,False,False,False,False,Commercial Services & Supplies,Trading & Distributors,59.53420669577875,False,False
INDIGO.NS,5450.0,4917.399983723958,4579.15276421441,4557.06,4759.200672200521,5002.143004150391,5016.095739561461,3895.199951171875,6232.5,True,False,False,False,True,True,True,True,False,1.284044958950914,ppv,422.478360582678,True,False,False,False,Transport Services,Airline,59.87384764677341,False,False
CHOLAFIN.NS,1799.199951171875,1660.6583353678386,1583.5555555555557,1584.1540014648438,1625.8188167317708,1628.783917236328,1699.6346487429369,1299.4000244140625,1830.131251345096,True,False,False,False,True,True,True,True,False,13.750685423110088,ppv,225.77172997296708,False,False,False,False,Finance,Non Banking Financial Company (NBFC),72.24648229015041,True,False
TATACAP.NS,,,,,,,,,,False,False,False,False,False,False,False,False,False,,ppv,245.14479290684804,False,False,False,False,Finance,Non Banking Financial Company (NBFC),,False,False
APOLLOTYRE.NS,430.6499938964844,415.0374984741211,399.33749813503687,406.26099853515626,454.36660237630207,463.5909339904785,419.6322084379038,365.29998779296875,536.7609990655867,False,False,False,False,True,False,True,True,False,-1.1746814876805733,ppv,125.71202401694961,False,False,False,False,Auto Components,Tyres & Rubber Products,56.52595827268316,False,False
BOSCHLTD.NS,40440.0,39440.416666666664,37714.86111111111,37515.5,36058.46666666667,36718.375,39686.922258706225,28610.0,41945.0,True,False,False,True,True,True,True,True,False,26.939852903805672,ppv,172.38823928768932,False,False,False,False,Auto Components,Auto Components & Equipments,80.98010674429888,True,False
M&MFIN.NS,328.54998779296875,295.99583435058594,304.0236112806532,305.0900006103516,337.0983331298828,325.8422499084473,302.1012970958798,246.35000610351562,412.20001220703125,False,True,True,False,True,True,True,True,False,28.934303233505567,ppv,293.8099611030595,False,False,False,False,Finance,Non Banking Financial Company (NBFC),82.14459000485202,True,False
UNOMINDA.NS,1136.5,1099.7666625976562,1102.5715772840713,1107.5353369140626,1160.054794514974,1187.6121975708008,1108.4384619148761,992.4616833454146,1378.852549646065,False,False,False,False,True,False,True,True,False,7.868776104877151,ppv,166.08674743547203,False,False,False,False,Auto Components,Auto Components & Equipments,66.76370693837943,False,False
LTF.NS,299.0,284.90416717529297,279.7323455810547,281.388818359375,284.147658589681,277.95076614379883,288.4537088828751,186.0841218830652,326.09262875443085,True,True,True,False,True,True,True,True,False,56.28249976213,ppv,171.09299925232895,False,False,False,False,Finance,Non Banking Financial Company (NBFC),91.31489568170791,True,False
HDBFS.NS,,,,,,,,,,False,False,False,False,False,False,False,False,False,,ppv,149.8321458652431,False,False,False,False,Finance,Non Banking Financial Company (NBFC),,False,False
LODHA.NS,947.4500122070312,913.9833323160807,903.1083323160807,899.0020007324218,963.5636702473959,1017.8782537841797,922.221562817663,650.7999877929688,1504.83975579525,False,False,False,False,True,True,False,True,False,-35.48001342020556,ppv,220.9581774350117,False,False,False,False,Realty,"Residential, Commercial Projects",13.148956817079089,False,False
STARHEALTH.NS,577.0999755859375,550.9041697184244,530.3805609809028,526.6180047607422,483.6993349202474,481.0627516174316,561.9289923435545,412.6000061035156,597.4000244140625,True,True,True,True,True,True,True,True,False,33.83579759938773,ppv,86.2801377307176,False,False,False,False,Insurance,General Insurance,84.37651625424552,True,True
RPTECH.NS,780.9000244140625,670.6375071207682,580.5041690402561,550.7640008544922,421.54500040690107,397.20600021362304,707.0545664123965,274.03069500955513,806.2000122070312,True,True,True,True,True,True,True,True,False,168.47992821658244,ppv,134.55955818512993,False,True,True,False,IT - Hardware,Computers Hardware & Equipments,98.3017952450267,True,True
WELCORP.NS,1455.0999755859375,1401.0500183105469,1362.5472276475693,1317.482001953125,983.5480013020833,957.6577505493165,1409.948156649978,710.0,1459.5,True,True,True,True,True,True,True,True,False,65.11842532579406,ppv,198.47818162225326,False,False,True,False,Industrial Products,Iron & Steel Products,92.67345948568656,True,True
IGL.NS,170.3800048828125,167.5525016784668,162.79805628458658,163.92720123291016,170.45743540445963,179.7595671081543,168.16883051163927,141.74000549316406,223.11416887517555,False,False,False,False,True,False,True,True,False,-15.10937380259315,ppv,108.41201524923017,False,False,False,False,Gas,LPG/CNG/PNG/LNG Supplier,38.37942746239689,False,False
PIDILITIND.NS,1597.0,1561.4249877929688,1498.1611022949219,1468.4699926757812,1448.0706673177083,1461.1232525634766,1565.1299506415262,1259.0,1620.699951171875,True,False,False,True,True,False,True,True,False,8.951429567451319,ppv,143.76556530492584,False,False,True,False,Chemicals & Petrochemicals,Specialty Chemicals,67.54002911208151,False,False
PDSL.NS,360.1499938964844,333.7958297729492,309.9736107720269,303.2759997558594,320.8516668701172,324.7146409606934,342.1989437027687,246.0500030517578,430.06451411820166,True,False,False,False,True,True,True,True,False,-7.764455137987214,ppv,131.63943656970528,False,True,False,False,Textiles & Apparels,Trading - Textile Products,47.79233381853469,False,False
TATACHEM.NS,746.2000122070312,733.4625091552734,737.6673872205946,739.8503088378907,721.4180582682292,766.2040194702148,733.2100677978184,571.5129923118551,1011.1043139234446,False,False,False,False,True,True,False,True,False,-16.32548010864093,ppv,446.3050851388909,False,False,False,False,Chemicals & Petrochemicals,Commodity Chemicals,36.82678311499272,False,False
MSUMI.NS,41.2599983215332,37.857499758402504,38.95861127641466,39.37900016784668,42.158066787719726,43.38254999160767,38.45318911968951,35.70000076293945,53.59000015258789,False,False,False,False,True,False,True,True,False,5.040732188820529,ppv,1583.7922722691103,True,False,False,False,Auto Components,Auto Components & Equipments,63.75545851528385,False,False
RRKABEL.NS,2488.300048828125,2275.4539794921875,2097.082590738932,1948.4739184570312,1597.3539689127604,1520.0034771728515,2327.602480281983,1158.7465736666888,2518.89990234375,True,True,True,True,True,True,True,True,False,88.9790378922173,ppv,119.09663110828284,False,False,True,False,Industrial Products,Cables - Electricals,95.34206695778748,True,True
RPSGVENT.NS,889.75,874.1625111897787,920.191674126519,909.5480041503906,801.254336344401,811.4407513427734,877.2956546341335,551.9000244140625,1179.0,True,False,False,True,False,True,True,True,False,-2.2413914043671657,ppv,53.88692181799527,False,False,False,False,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),55.07035419699176,False,False
MOTILALOFS.NS,946.1500244140625,921.2875061035156,879.9625023735894,860.607001953125,815.9426416015625,851.686987915039,929.0800110076461,614.9000244140625,1088.3156211947492,True,False,False,True,True,True,True,True,False,14.31497356114637,ppv,104.42685257311707,False,False,False,False,Capital Markets,Stockbroking & Allied,72.68316351285785,True,False
MANAPPURAM.NS,318.5,313.5833333333333,314.27637651231555,307.8387384033203,292.5672814941406,289.9786717224121,317.3253898586779,244.06989380600746,334.0,True,True,True,True,True,True,True,True,False,18.645357219267634,ppv,203.11056592770092,False,False,False,False,Finance,Non Banking Financial Company (NBFC),76.12809315866085,True,True
EMCURE.NS,1880.199951171875,1764.5083109537761,1725.2888793945312,1706.4639892578125,1553.9153304036458,1504.1649993896485,1793.3785238658936,1226.3641410232713,1944.0,True,True,True,True,True,True,True,True,False,40.22684512408803,ppv,345.3890209267659,False,False,True,False,Pharmaceuticals & Biotechnology,Pharmaceuticals,86.60844250363901,True,True
CCAVENUE.NS,16.06999969482422,14.543333292007446,14.1247222688463,14.155799999237061,15.712133324941,16.23209997653961,14.968574192025612,12.920000076293945,20.938024520874023,False,False,False,False,True,False,True,True,False,-10.528000367007628,ppv,257.40968873829235,False,False,False,False,Financial Technology (Fintech),Financial Technology (Fintech),44.2988840368753,False,False
DBL.NS,459.70001220703125,440.1958363850911,441.294445461697,447.3530004882812,447.06666666666666,461.18088500976563,446.0663765261394,382.04998779296875,585.0,False,False,False,False,True,False,True,True,False,-5.489773963991695,ppv,183.0626738211439,False,False,False,False,Construction,Civil Construction,50.7520621057739,False,False
POONAWALLA.NS,440.29998779296875,408.5875015258789,407.1861114501953,411.8660009765625,432.35033365885414,445.89575088500976,417.94683969749707,361.20001220703125,570.4000244140625,False,False,False,False,True,False,True,True,True,0.6284996175799584,ppv,124.82521721216567,False,False,False,False,Finance,Non Banking Financial Company (NBFC),58.9034449296458,False,False
RAMCOCEM.NS,919.0999755859375,886.7749938964844,895.4861094156901,913.8569982910157,1003.646669108073,1009.7802529907226,893.4215191833651,838.2999877929688,1214.5,False,False,False,False,True,False,True,True,False,-9.032122942066733,ppv,227.75376967371747,False,False,False,False,Cement & Cement Products,Cement & Cement Products,46.48229015041242,False,False
PCBL.NS,317.3999938964844,303.59583282470703,292.9777772691515,293.0385992431641,290.7355339558919,310.3858576202393,307.5561196169353,226.5,430.1642878557498,True,False,False,False,True,True,False,True,False,-16.956593565011367,ppv,166.44485818787788,False,True,False,False,Chemicals & Petrochemicals,Carbon Black,36.05046094129064,False,False
OFSS.NS,10974.5,9704.666666666666,9681.180555555555,9441.17671875,7949.990849609375,8055.332348632813,9999.90947808065,6060.863819699785,11035.0,True,False,True,True,True,True,True,True,True,25.152048224221968,ppv,301.7829643612035,True,False,True,False,IT - Software,Software Products,80.00970402717128,True,False
AEGISLOG.NS,1140.6500244140625,999.3250020345052,814.3166707356771,786.6570031738281,725.2043347167969,738.4252502441407,1019.4308728099525,576.0999755859375,1154.6500244140625,True,False,True,True,True,True,True,True,False,46.391219915474394,ppv,287.53175727918165,False,False,True,False,Gas,Trading - Gas,88.5977680737506,True,False
SUNDRMFAST.NS,929.0,868.5333404541016,852.6055586073134,847.0971276855469,877.7339619954427,904.4126303100586,882.0791854296414,726.5272499221361,1070.4970575085483,True,False,False,False,True,False,True,True,False,-2.7953976548895088,ppv,295.8642957929126,False,False,False,False,Auto Components,Auto Components & Equipments,54.34255215914604,False,False
TIMETECHNO.NS,182.0800018310547,175.73499806722006,175.86638810899524,179.6561993408203,182.0649329630534,191.7212247467041,177.5478408248369,154.0,249.14999389648438,False,False,False,False,True,False,False,True,False,-17.642736293074044,ppv,239.90461095255404,False,False,False,False,Industrial Products,Plastic Products - Industrial,34.837457544881126,False,False
RADICO.NS,3829.800048828125,3646.316650390625,3546.9610934787324,3484.0159814453127,3117.6119921875,3100.3829931640626,3697.131935795367,2498.3767025484863,3843.0,True,True,True,True,True,True,True,True,False,45.6703341644116,ppv,87.83834469909489,False,False,True,False,Beverages,Breweries & Distilleries,88.40368753032509,True,True
SYRMA.NS,1440.5,1323.5,1168.0291765001084,1118.1690051269532,892.5543355305989,874.3996795654297,1346.7476100929603,499.0761959610563,1517.699951171875,True,True,True,True,True,True,True,True,False,186.74079890956338,ppv,212.5572034346737,False,False,True,False,Industrial Manufacturing,Industrial Products,98.44735565259583,True,True
