symbol,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,inside_bar,industry_group,industry,rs_percentile,cond8_rs_at_least_70,all_conditions_met
RELIANCE.NS,1318.0999755859375,1307.3833312988281,1327.2609422471787,1344.2550317382813,1413.4873852539063,1415.028569946289,1313.1795881859168,1253.199951171875,1604.3820104615531,False,False,False,False,False,False,True,True,False,-8.739498539798173,noise,72.91971946353003,False,False,Petroleum Products,Refineries & Marketing,46.87045123726347,False,False
LICI.NS,423.3500061035156,410.86255137125653,399.9551052517361,399.2740234375,405.5857501220703,413.6322163391113,417.7800886540734,352.4872671490231,472.5115584387473,True,False,False,False,True,False,True,True,False,-6.586761388505435,red,142.2427022946857,False,False,Insurance,Life Insurance,49.53905870936438,False,False
RAJESHEXPO.NS,97.0199966430664,91.1508337656657,103.93500031365289,109.27539993286133,141.63559967041016,152.8025496673584,96.98190954458036,72.62999725341797,237.8800048828125,False,False,False,False,False,True,False,True,False,-47.40323478705982,noise,23.265599324426834,False,False,Consumer Durables,"Gems, Jewellery And Watches",4.9975739932071805,False,False
IOC.NS,143.88999938964844,142.86333465576172,140.71222262912326,141.89920013427735,153.16014119466146,151.9600816345215,143.54328845476624,127.92889076038279,186.60727196585654,False,True,False,False,True,False,True,True,False,9.646945202427638,red,103.03711430182223,False,False,Petroleum Products,Refineries & Marketing,68.26783114992722,False,False
ONGC.NS,233.10000610351562,245.16666666666666,269.30138736301,275.02799743652344,261.24598520914714,254.28993576049805,244.74486923827993,219.43326162728522,307.5,False,True,True,True,False,False,True,False,False,-2.252973068709063,red,217.11267978425872,False,False,Oil,Oil Exploration & Production,55.167394468704515,False,False
SBIN.NS,1045.4000244140625,1025.5416564941406,988.1360066731771,1011.054677734375,1024.6450341796874,987.1181253051758,1027.5226895851736,772.62337460265,1212.8384373028666,True,True,True,False,True,True,True,True,False,34.68025906228511,green,102.58931138738396,False,False,Banks,Public Sector Bank,84.6676370693838,True,False
BPCL.NS,309.75,306.9041697184245,299.3902799818251,301.9200012207031,330.26865376790363,329.32751220703125,308.45858956680087,266.6000061035156,391.6499938964844,False,True,False,False,True,False,True,True,False,5.283156728829708,noise,90.79346511105702,False,False,Petroleum Products,Refineries & Marketing,63.80397865114023,False,False
HINDPETRO.NS,409.25,395.0791651407878,388.37638685438367,385.73699768066405,413.91866597493487,420.5304721069336,399.22342811942383,316.20001220703125,508.45001220703125,False,False,False,False,True,False,True,True,False,7.90917713352568,noise,83.17570885149576,False,False,Petroleum Products,Refineries & Marketing,66.76370693837943,False,False
TMPV.NS,353.20001220703125,368.25379180908203,368.826661851671,363.11193481445315,353.23747599283854,402.66082290649416,363.04552680783667,291.8787603017159,733.6144341409002,False,False,False,False,False,False,False,False,False,-46.945265277386724,green,130.65094487298455,False,False,Automobiles,Passenger Cars & Utility Vehicles,5.1916545366327025,False,False
HDFCBANK.NS,796.2999877929688,771.2117360432943,755.6206732855903,760.8451586914063,853.8354081217448,881.1470956420899,777.5408189494302,714.8271607333363,1003.8961237048558,False,False,False,False,True,False,True,True,False,-15.786084200237937,green,130.5396594768756,False,False,Banks,Private Sector Bank,37.50606501698205,False,False
LT.NS,4216.39990234375,4130.908304850261,4005.435268825955,4006.77005859375,3952.3379671223956,3902.397780761719,4155.614972587575,3256.294765660181,4397.052414797838,True,True,True,True,True,False,True,True,False,18.804117646411388,ppv,138.60926025702972,False,False,Construction,Civil Construction,76.27365356622998,True,False
TCS.NS,2094.699951171875,2146.1916707356772,2232.657701280382,2294.9446240234374,2665.8124837239584,2733.8715942382814,2136.3667746055407,2055.0,3357.7757139896216,False,False,False,False,False,False,False,False,False,-35.84619310735603,red,100.56127349858033,False,False,IT - Software,Computers - Software & Consulting,12.663755458515283,False,False
HINDALCO.NS,953.2000122070312,1003.2250111897787,1062.6750030517578,1057.6860021972657,955.3450020345052,911.5532525634766,1000.6219816404239,635.489663228247,1176.0,False,True,True,True,False,True,True,False,False,45.17542571276862,red,213.9358569790399,False,False,Non - Ferrous Metals,Aluminium,88.20960698689956,True,False
TATASTEEL.NS,188.7100067138672,195.85606129964194,203.31218931410046,204.69838653564454,191.04917826334636,185.8840602874756,195.2439361838201,147.43938048913083,219.86575104195882,False,True,True,True,False,False,True,False,False,26.354226690369643,red,117.56050560298006,False,False,Ferrous Metals,Iron & Steel,80.59194565744784,True,False
BHARTIARTL.NS,1850.699951171875,1856.8333231608074,1846.7888861762153,1846.1919970703125,1941.3986702473958,1952.0470025634766,1868.3531542793176,1740.5,2174.5,False,False,False,False,True,False,True,False,False,-3.6217736022950864,noise,95.69781751447738,False,False,Telecom - Services,Telecom - Cellular & Fixed line services,53.275109170305676,False,False
M&M.NS,3182.199951171875,3080.00830078125,3097.1611124674478,3111.172001953125,3353.2020084635415,3407.988006591797,3089.750415559728,2896.0,3839.89990234375,False,False,False,False,True,False,True,True,False,2.3210839920848603,green,173.75165091452402,False,False,Automobiles,Passenger Cars & Utility Vehicles,61.08685104318292,False,False
MARUTI.NS,13745.0,13450.583333333334,13258.888888888889,13279.12,14471.3,14826.31,13449.418136253968,12136.640487158153,17370.0,False,False,False,False,True,False,True,True,False,9.408359631725594,ppv,230.7132743281287,False,False,Automobiles,Passenger Cars & Utility Vehicles,68.02523047064531,False,False
JSWSTEEL.NS,1231.0,1273.0083312988281,1281.6944512261284,1277.5360034179687,1209.676669921875,1194.8160028076172,1262.5579703422522,980.8587044397352,1328.0,True,True,True,True,False,False,True,False,False,23.802897296718626,noise,97.19882223462659,False,True,Ferrous Metals,Iron & Steel,79.37894226103833,True,False
