symbol,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,inside_bar,industry_group,industry,rs_percentile,cond8_rs_at_least_70,all_conditions_met,total_market_cap_cr,traded_value_cr,traded_volume,traded_val_pct_mc
HINDALCO.NS,1141.300048828125,1102.808329264323,1061.7999996609158,1017.6820007324219,928.9553356933594,881.6025018310547,1115.5294810969788,613.5008869488823,1176.0,True,True,True,True,True,True,True,True,False,76.88587080987625,green,116.56558724594896,False,True,Non - Ferrous Metals,Aluminium,94.75747182753553,True,True,255212.18,714.13,6257186,0.2798
TATASTEEL.NS,210.57000732421875,210.77500025431314,212.05361217922635,207.37320068359375,192.14406697591147,185.81150009155274,211.28425185277766,149.8000030517578,224.39999389648438,True,True,True,True,True,True,True,False,False,33.639673483364476,noise,78.92940912277483,False,False,Ferrous Metals,Iron & Steel,86.37922586967173,True,True,262619.7,671.13,31871867,0.2556
JSWSTEEL.NS,1299.4000244140625,1290.4833475748699,1270.0555623372395,1236.5220068359374,1197.6146712239583,1174.794002685547,1291.647282925935,959.5660768846707,1328.0,True,True,True,True,True,True,True,True,False,30.15975029620015,noise,68.00892767421455,False,True,Ferrous Metals,Iron & Steel,84.90935815776581,True,True,317135.9,259.42,1996427,0.0818
COALINDIA.NS,472.6000061035156,460.7875010172526,458.15416717529297,456.6460009765625,421.55948649088543,408.84103302001955,462.399822581355,345.88277906519255,491.25,True,True,True,True,True,True,True,True,False,27.028152125784644,green,290.55709898362187,False,False,Consumable Fuels,Coal,83.73346398824107,True,True,291250.54,745.21,15768273,0.2559
MOTHERSON.NS,141.77000427246094,136.63083521525064,128.91472265455457,123.82842163085938,119.24763219197591,114.68825588226318,138.49951276225212,89.42248454216111,151.77000427246094,True,True,True,True,True,True,True,True,False,43.788297343850836,red,155.8751152669957,False,True,Auto Components,Auto Components & Equipments,89.171974522293,True,True,149301.27,337.49,23805254,0.226
SAIL.NS,203.69000244140625,200.2749989827474,187.27222188313803,178.04920013427736,156.0278000386556,149.11625904083252,201.30616738735037,116.63813628480024,209.6999969482422,True,True,True,True,True,True,True,True,False,59.92781039830495,noise,64.19942274505689,False,False,Ferrous Metals,Iron & Steel,92.65066144047036,True,True,84134.67,543.93,26704040,0.6465
BAJAJ-AUTO.NS,10376.0,10378.131510416666,10023.265543619791,9704.2341015625,9352.895475260417,9200.147260742187,10421.181736004832,7749.439654454236,10750.0,True,True,True,True,True,True,True,False,False,21.91992523944446,red,107.45580535117153,False,False,Automobiles,2/3 Wheelers,80.98971092601666,True,True,289772.35,409.7,394852,0.1414
CHENNPETRO.NS,1096.9000244140625,1027.6083272298176,1040.35277472602,1027.7402319335938,942.8689404296875,886.4101251220703,1047.5047805885326,593.9771332331783,1159.699951171875,True,True,True,True,True,True,True,True,False,54.891473208287266,ppv,95.28834796239668,False,False,Petroleum Products,Refineries & Marketing,91.52376286134249,True,True,16334.09,281.03,2561999,1.7205
ADANIPOWER.NS,232.3000030517578,230.83416875203451,218.47583431667752,201.26100036621094,164.4682671101888,157.38085010528565,234.92622496592648,105.41999816894531,254.1999969482422,True,True,True,True,True,True,True,False,False,110.91338690672869,noise,91.7593651909657,False,False,Power,Integrated Power Utilities,96.5703086722195,True,True,447983.46,1100.55,47376411,0.2457
HINDZINC.NS,626.25,636.3708292643229,614.8358696831597,585.9757141113281,568.1143709309896,538.3378300476074,636.7119525854557,406.0805394823193,719.8477125036038,True,True,True,True,True,True,True,False,False,43.69668477426285,noise,38.05129156359794,False,False,Non - Ferrous Metals,Zinc,89.0249877511024,True,True,264610.6,397.6,6348942,0.1503
