symbol,date,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,inside_bar,is_52w_high,is_52w_low,data_source,industry_group,industry,rs_percentile,cond8_rs_at_least_70,all_conditions_met,total_market_cap_cr,traded_value_cr,traded_volume,traded_val_pct_mc,price_band
ACCENTMIC.NS,2026-07-30,494.45001220703125,505.46058654785156,485.83537122938367,477.8877282714844,405.662041015625,380.0161145782471,500.52192959936787,237.53315895751183,530.0,True,True,True,True,True,True,True,False,False,84.2003344045481,noise,45.89872668048564,False,True,False,False,,Pharmaceuticals & Biotechnology,Pharmaceuticals,95.69805194805194,True,True,688.24,1.86,64684.0,0.2696,—
AUTOIND.NS,2026-07-31,87.83000183105469,88.07583363850911,86.55583339267307,84.31720001220702,75.92793317159017,74.61294984817505,88.04063593089319,48.349998474121094,103.5,True,True,True,True,True,True,True,False,False,18.609045525177415,noise,22.350504879884,False,True,False,False,,Auto Components,Auto Components & Equipments,78.77435064935064,True,True,398.53,2.14,244065.0,0.5379,—
AVADHSUGAR.NS,2026-07-31,504.0,528.3791681925455,492.13894738091363,480.3954193115234,426.90864888509117,416.94157608032225,520.6607551282838,300.3047281830496,562.0,True,True,True,True,True,True,True,False,False,13.186921337385883,noise,69.93452553599194,False,True,False,False,,Agricultural Food & other Products,Sugar,75.0,True,True,1008.93,1.13,22459.0,0.1122,—
AZAD.NS,2026-07-31,2292.5,2363.8000284830728,2233.6250203450522,2198.308017578125,1876.6000073242187,1818.6145068359374,2346.960354029732,1360.0,2530.0,True,True,True,True,True,True,True,False,False,52.38633094897007,noise,52.275152500068366,False,True,False,False,,Electrical Equipment,Heavy Electrical Equipment,91.47727272727273,True,True,14805.36,120.0,523443.0,0.8105,—
CHENNPETRO.NS,2026-07-31,1260.5999755859375,1230.5083414713542,1166.4444444444443,1154.9840002441406,1012.2075520833333,986.8655032348632,1220.9395316074663,615.9702998720279,1354.0,True,True,True,True,True,True,True,True,False,81.47758539397539,green,105.46824278581741,False,True,False,False,,Petroleum Products,Refineries & Marketing,95.53571428571429,True,True,18771.77,162.7,1290680.0,0.8667,—
CARYSIL.NS,2026-07-31,1175.300048828125,1165.6000061035156,1173.0722215440537,1155.327001953125,966.2346659342448,962.4169998168945,1166.609155184592,732.0999755859375,1280.9000244140625,True,True,True,True,True,True,True,True,False,31.502947530394177,noise,35.81059784763909,False,True,False,False,,Consumer Durables,Household Appliances,85.59253246753246,True,True,3342.86,18.62,158388.0,0.5569,—
CEMPRO.NS,2026-07-31,1367.800048828125,1484.7583312988281,1395.7916666666667,1303.6336938476563,882.8283601888021,865.4818496704102,1425.7129915081848,502.01526853255285,1649.199951171875,True,True,True,True,True,True,True,False,False,80.04200973478592,noise,60.68969844769755,False,True,False,False,,Construction,Civil Construction,95.37337662337663,True,True,23497.11,169.84,1241682.0,0.7228,—
COMSYN.NS,2026-07-31,214.80999755859375,192.12750116984049,181.51138899061414,174.41099975585936,163.18926635742187,158.91979972839354,196.56082241702705,126.90239250105125,228.0,True,True,True,True,True,True,True,True,False,62.02570398454805,green,224.1076638249422,False,True,True,False,,Industrial Products,Packaging,93.4659090909091,True,True,866.53,12.87,598931.0,1.4847,—
CUPID.NS,2026-07-31,230.6199951171875,218.47916666666666,199.70861053466797,181.56659912109376,123.2428665669759,108.57359987258911,222.5107305937075,29.600000381469727,234.5,True,True,True,True,True,True,True,True,False,664.047160749414,noise,39.58695633799128,False,True,False,False,,Personal Products,Personal Care,99.87824675324676,True,True,31010.56,650.92,28224836.0,2.099,—
GRCL.NS,2026-07-30,577.0,599.6416676839193,576.5375035603842,562.7380029296875,455.3386676025391,438.43375122070313,591.3380781296007,306.6499938964844,629.2000122070312,True,True,True,True,True,True,True,False,False,39.7094430992736,noise,51.28205128205128,False,True,False,False,,Industrial Products,Rubber,88.06818181818183,True,True,212.28,0.1,2819.0,0.0491,—
GHCLTEXTIL.NS,2026-07-31,113.62000274658203,115.2133337656657,105.17886373731825,102.61671951293945,86.60122080485026,83.86119842529297,114.53615674544331,64.84792129679248,124.9000015258789,True,True,True,True,True,True,True,False,False,27.61384979160908,red,160.78074776787733,False,True,False,False,,Textiles & Apparels,Other Textile Products,83.84740259740259,True,True,1086.05,8.97,789659.0,0.8261,—
