symbol,date,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,inside_bar,is_52w_high,is_52w_low,data_source,industry_group,industry,rs_percentile,cond8_rs_at_least_70,all_conditions_met
AAATECH.NS,2026-08-20,93.86000061035156,93.64750099182129,93.37750074598524,94.11700088500976,97.27466664632162,96.54009994506836,93.21513751195056,75.58407430912304,136.0,False,True,False,False,False,False,False,True,True,13.826371736045772,noise,84.78974751120228,False,False,False,False,,Commercial Services & Supplies,Consulting Services,71.57339821573399,True,False
ABSMARINE.NS,2026-08-19,239.64999389648438,227.90416717529297,227.40138922797308,229.39500030517578,210.93666676839192,210.71574989318847,231.7188318312,143.0500030517578,315.5,True,True,True,True,True,True,True,True,True,20.155426203728744,noise,50.823338076844884,False,False,False,False,,Transport Services,Shipping,75.54744525547446,True,True
ANLON.NS,2026-08-19,657.0,636.6166636149088,633.3208329942491,651.8379992675781,511.86566670735675,483.26949966430664,646.6328774368983,335.0,748.0,True,True,True,True,True,True,True,True,True,64.25,noise,86.29989212513485,False,False,False,False,,Commercial Services & Supplies,Diversified Commercial Services,91.40308191403082,True,True
BHANDARI.NS,2026-08-20,3.0199999809265137,2.9208332697550454,2.919166670905219,2.9497999954223633,3.1738300482432047,3.434822541475296,2.959905860236095,2.0,5.381413758309342,False,False,False,False,True,True,False,True,True,-39.391391248851995,noise,76.01356367908559,False,False,False,False,,Textiles & Apparels,Other Textile Products,13.584752635847527,False,False
BEL.NS,2026-08-20,409.3999938964844,405.59900665283203,405.3814951578776,407.79930297851564,422.928315226237,418.42403427124026,407.29437758585254,359.18122347653144,472.8081629796919,False,True,False,False,True,False,True,True,True,7.634252984745782,noise,57.69932137888594,False,False,False,False,,Aerospace & Defense,Aerospace & Defense,66.82887266828872,False,False
CSLFINANCE.NS,2026-08-20,225.2899932861328,220.34250005086264,219.59166632758246,221.68640045166015,238.68439982096353,252.20529998779296,221.11909651456182,209.6999969482422,324.70001220703125,False,False,False,False,True,False,False,True,True,-26.342189469020983,noise,91.43364239581108,False,False,False,False,,Finance,Non Banking Financial Company (NBFC),27.899432278994325,False,False
DTIL.NS,2026-08-20,134.9499969482422,134.26036834716797,134.08784251742892,134.21069961547852,135.2771219889323,141.1605123138428,134.2152669108494,100.5264407641267,208.3952421102826,False,False,False,False,True,True,False,True,True,-32.35443221930298,noise,42.753053120551435,False,True,False,False,,Agricultural Food & other Products,Tea & Coffee,20.235198702351987,False,False
DOLATALGO.NS,2026-08-20,74.9000015258789,70.82916641235352,70.41972202724881,71.64539978027344,75.06901570638021,76.4366444015503,71.73314223847397,64.95999908447266,95.63547251598347,False,False,False,False,True,False,True,True,True,-10.279298413644234,red,294.24958483887707,False,False,False,False,,Capital Markets,Stockbroking & Allied,47.16139497161395,False,False
DONEAR.NS,2026-08-20,88.94999694824219,85.95083300272624,85.54249996609158,86.7902000427246,88.73506652832032,91.15389995574951,86.87179210073202,77.5999984741211,116.51000213623047,False,False,False,False,True,False,True,True,True,-8.222931565834479,noise,37.45039479605613,False,False,False,False,,Textiles & Apparels,Other Textile Products,50.081103000811034,False,False
ENFUSE.NS,2026-08-19,164.0,165.8374989827474,165.66388829549155,164.9499996948242,183.0943330891927,192.4582499694824,164.83242061152592,148.0,284.0,False,False,False,False,False,False,False,False,True,-28.02282396012209,noise,23.923444976076556,False,True,False,False,,IT - Services,IT Enabled Services,25.669099756691,False,False
