symbol,total_market_cap_cr,price_band,last_updated
ATUL.NS,18069.88,20,2026-08-06
AUBANK.NS,73383.89,No Band,2026-08-06
AURIONPRO.NS,4566.99,20,2026-08-06
AUROIMPEX.NS,98.34,5,2026-08-06
APS.NS,1026.78,20,2026-08-06
AUTOIND.NS,377.75,5,2026-08-06
AVANTEL.NS,4378.12,20,2026-08-06
AVANTIFEED.NS,13528.51,20,2026-08-06
DMART.NS,260931.0,No Band,2026-08-06
ASMS.NS,216.25,5,2026-08-06
AVONMORE.NS,273.72,20,2026-08-06
AVPINFRA.NS,357.58,10,2026-08-06
AVROIND.NS,119.28,20,2026-08-06
AVTNPL.NS,1059.59,20,2026-08-06
AWFIS.NS,2033.11,20,2026-08-06
AXISBANK.NS,385276.55,No Band,2026-08-06
AXISCADES.NS,6575.29,10,2026-08-06
AXITA.NS,281.65,20,2026-08-06
AYE.NS,4333.95,20,2026-08-06
BNALTD.NS,,5,2026-08-06
BLKASHYAP.NS,1236.09,20,2026-08-06
STYLEBAAZA.NS,2154.95,5,2026-08-06
BABAFP.NS,86.61,20,2026-08-06
BAGFILMS.NS,97.85,20,2026-08-06
BAIDFIN.NS,152.56,20,2026-08-06
BAJAJCON.NS,6917.55,20,2026-08-06
BAJAJHIND.NS,4015.31,20,2026-08-06
BAJAJHFL.NS,71176.74,10,2026-08-06
BAJAJST.NS,,20,2026-08-06
BAJEL.NS,2135.42,20,2026-08-06
BALAJITELE.NS,1037.02,20,2026-08-06
BALAXI.NS,132.5,10,2026-08-06
BALKRISIND.NS,38947.61,20,2026-08-06
BALKRISHNA.NS,56.48,20,2026-08-06
BLIL.NS,,20,2026-08-06
BALMLAWRIE.NS,3018.22,20,2026-08-06
BALUFORGE.NS,4922.8,20,2026-08-06
BANCOINDIA.NS,9085.73,20,2026-08-06
BANDHANBNK.NS,27952.2,No Band,2026-08-06
BANG.NS,38.71,20,2026-08-06
BANKBARODA.NS,127086.23,No Band,2026-08-06
MAHABANK.NS,60894.04,20,2026-08-06
BANKA.NS,93.28,5,2026-08-06
BANARISUG.NS,4359.55,20,2026-08-06
BANSALWIRE.NS,4931.51,20,2026-08-06
BVCL.NS,91.61,20,2026-08-06
BASILIC.NS,1319.1,20,2026-08-06
BATLIBOI.NS,416.73,20,2026-08-06
BAWEJA.NS,154.33,5,2026-08-06
BCLIND.NS,1029.23,20,2026-08-06
BCPL.NS,116.73,20,2026-08-06
