Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Market Capitalization,Price to Earning,Sales,Profit after tax,OPM,Dividend yield,Price to book value,Return on equity,Earnings yield,Sales growth,Profit growth,EVEBITDA,Sales growth 3Years,PEG Ratio
Asit C Mehta Fin,530723,,INE041B01014,Capital Markets,Stockbroking & Allied,108.00,89.06,,61.22,-0.90,10.99,0.00,3.88,-6.84,5.33,-13.68,71.78,14.43,21.98,
ASK Automotive,544022,ASKAUTOLTD,INE491J01022,Auto Components,Auto Components & Equipments,618.85,12200.17,38.56,4643.15,316.38,12.25,0.30,9.31,25.13,3.65,27.91,23.18,21.78,17.79,1.13
ASM Technologies,526433,,INE867C01010,IT - Software,Computers - Software & Consulting,5370.45,7833.69,107.24,604.42,73.05,20.00,0.31,25.51,25.47,1.43,68.31,86.64,61.25,33.85,1.23
Aspinwall & Co,,ASPINWALL,INE991I01015,Transport Services,Logistics Solution Provider,259.25,202.69,17.06,440.33,11.88,4.65,2.51,1.01,3.83,7.57,28.38,56.52,10.28,12.30,-0.80
Aspira Pathlab,540788,,INE500C01017,Healthcare Services,Healthcare Service Provider,97.00,99.84,,25.90,-0.45,3.82,0.00,8.16,0.51,-0.07,14.50,-117.58,66.76,19.99,
Aspire & Innovat,,ASPIRE,INE0S7801010,Consumer Durables,Household Appliances,13.25,20.11,7.92,176.23,2.54,1.13,0.00,0.38,5.00,12.38,5.56,-33.16,7.34,-20.12,-0.37
Assam Entrade,542911,ASSAMENT,INE165G01010,Finance,Non Banking Financial Company (NBFC),830.00,119.50,63.23,9.64,1.89,-17.01,0.00,1.86,3.12,2.65,15.45,-41.30,36.87,7.95,6.48
Assoc.Alcohols,507526,ASALCBR,INE073G01016,Beverages,Breweries & Distilleries,706.35,1418.29,17.14,1033.58,82.74,13.14,0.28,2.04,14.57,7.98,-5.25,-5.33,10.26,13.30,0.61
Associated Cera.,531168,,INE771E01010,Other Construction Materials,Other Construction Materials,168.00,34.35,19.63,40.66,1.75,12.05,0.00,1.34,8.44,6.87,-11.22,1.16,6.60,-7.33,-0.85
Associated Coat.,544183,,INE0RIQ01013,Industrial Products,Other Industrial Products,111.00,15.01,13.05,8.26,1.15,19.73,0.00,1.92,15.75,11.05,38.59,8.49,7.85,32.02,0.47
Asston Pharmaceu,544445,,INE0SJX01015,Pharmaceuticals & Biotechnology,Pharmaceuticals,109.95,93.59,24.18,25.47,3.87,-2.24,0.00,2.41,15.51,5.37,1.72,1.57,17.55,57.33,0.45
Astal Lab,512600,,INE307N01014,Pharmaceuticals & Biotechnology,Pharmaceuticals,76.90,336.81,22.90,249.13,14.71,8.34,0.00,0.97,7.96,5.13,287.87,64.73,18.36,,
Astec Lifescienc,533138,ASTEC,INE563J01010,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,554.45,1235.47,,440.62,-64.52,1.31,0.00,3.16,-25.19,-2.00,9.33,49.62,150.92,-10.65,
Aster DM Quality,540975,ASTERDM,INE914M01019,Healthcare Services,Hospital,785.75,68491.66,189.76,4876.03,360.94,18.83,0.38,8.90,10.70,1.12,15.70,2.06,66.22,15.75,-144.85
Astonea Labs,544409,,INE0TG901011,Pharmaceuticals & Biotechnology,Pharmaceuticals,268.00,281.69,62.32,147.58,4.52,9.15,0.00,4.93,11.97,2.78,51.36,-15.51,23.15,30.18,0.64
Astra Microwave,532493,ASTRAMICRO,INE386C01029,Aerospace & Defense,Aerospace & Defense,1729.00,16415.99,86.84,1139.74,189.04,28.51,0.14,12.49,15.99,1.87,4.02,16.28,46.54,12.55,2.15
Astral,532830,ASTRAL,INE006I01046,Industrial Products,Plastic Products - Industrial,1492.90,40106.78,67.70,6785.40,592.39,16.33,0.27,9.88,13.85,2.19,16.79,22.27,34.00,8.39,12.18
Astrazeneca Phar,506820,ASTRAZEN,INE203A01020,Pharmaceuticals & Biotechnology,Pharmaceuticals,6944.00,17360.00,100.07,2432.06,173.48,9.45,0.52,19.89,23.29,1.40,31.10,-17.96,66.40,31.40,6.73
Astron,544628,,INE0RUY01012,Food Products,Packaged Foods,17.43,14.99,4.34,48.40,3.45,10.76,0.00,0.55,18.35,28.28,42.73,49.35,3.13,35.42,0.11
Astron Paper,540824,ASTRON,INE646X01014,"Paper, Forest & Jute Products",Paper & Paper Products,3.06,14.23,,2.79,-19.45,-67.74,0.00,0.18,-21.58,-9.10,-97.09,62.96,-47.34,-80.81,
Atal Realtech,543911,ATALREAL,INE0ALR01029,Realty,"Residential, Commercial Projects",26.22,322.50,47.22,120.42,6.83,9.97,0.00,3.36,7.95,3.23,17.11,71.18,27.80,43.50,1.02
Atam Valves,543236,ATAM,INE09KD01013,Industrial Manufacturing,Industrial Products,52.99,60.74,33.37,47.21,1.82,8.30,0.66,1.60,6.49,4.76,-23.09,-72.47,18.01,-1.40,-1.06
ATC Energies,,ATCENERGY,INE0V0Q01019,Electrical Equipment,Other Electrical Equipment,22.50,45.87,,30.74,-1.48,6.86,0.00,0.52,-1.67,1.30,-40.10,-113.01,20.98,-2.47,
Aten Papers,544417,,INE0XCV01014,"Paper, Forest & Jute Products",Paper & Paper Products,19.80,20.39,2.76,186.65,7.39,5.50,0.00,0.41,23.22,39.04,34.58,5.42,2.52,27.06,0.02
Atharva Poly-Plast,544812,,INE226801012,Consumer Durables,Plastic Products - Consumer,88.75,149.54,23.11,54.39,6.47,17.94,0.00,,39.58,6.15,14.41,25.88,13.89,6.29,0.21
Athena Global,517429,,INE576B01019,IT - Software,Computers - Software & Consulting,52.64,74.02,,12.93,-27.21,-88.86,0.00,0.52,-18.35,-6.18,-10.64,-37.77,-18.69,-2.33,
Ather Energy,544397,ATHERENERG,INE0LEZ01016,Automobiles,2/3 Wheelers,1584.00,62822.03,,4244.12,-384.80,-7.24,0.00,23.56,-33.41,-0.49,67.15,52.35,-443.26,27.28,
Atishay,538713,,INE011R01013,IT - Software,Software Products,147.10,162.27,28.93,57.09,5.61,14.70,0.68,2.95,13.14,4.92,7.17,-25.89,15.90,37.49,0.21
Atlanta Electric,544527,ATLANTAELE,INE0Z4F01028,Electrical Equipment,Heavy Electrical Equipment,1881.70,14469.64,66.29,2002.73,218.28,18.61,0.00,15.57,31.69,2.46,59.03,74.72,37.13,28.44,2.05
Atlantaa,532759,ATLANTAA,INE285H01022,Construction,Civil Construction,39.15,319.07,,77.72,-5.06,41.30,0.00,1.50,-0.81,1.32,15.62,-118.33,9.60,12.68,
Atlas Cycles,505029,ATLASCYCLE,INE446A01025,Consumer Durables,Cycles,96.18,62.55,,6.46,-8.37,-107.12,0.00,0.16,-2.10,-12.16,-44.07,-199.76,-10.07,58.59,
Atmastco Ltd,,ATMASTCO,INE05DH01017,Construction,Civil Construction,139.50,364.91,14.32,292.62,24.95,16.19,0.00,2.36,18.24,10.25,1.05,29.68,8.98,6.54,0.57
Atul,500027,ATUL,INE100A01010,Chemicals & Petrochemicals,Specialty Chemicals,6386.00,18801.50,23.64,6643.49,795.43,17.89,0.47,3.02,11.49,5.76,15.75,59.14,13.44,4.95,2.74
Atul Auto,531795,ATULAUTO,INE951D01028,"Agricultural, Commercial & Construction Vehicles",Commercial Vehicles,465.15,1290.85,26.75,890.04,48.25,10.22,0.64,2.67,9.30,5.36,20.18,107.44,14.98,17.12,0.21
ATV Projects,500028,,INE447A01015,Industrial Manufacturing,Industrial Products,26.22,139.27,19.42,73.02,7.17,11.39,0.00,0.65,3.42,4.25,10.65,-8.19,20.15,12.27,0.80
Atvo Enterprises,532090,,INE219M01021,Textiles & Apparels,Other Textile Products,39.51,422.70,2113.50,6.44,0.20,-1.55,0.00,35.97,1.80,0.06,49.42,42.86,1506.71,28.52,121.96
AU Small Finance,540611,AUBANK,INE949L01017,Banks,Other Bank,1065.00,79936.57,27.99,19560.64,2856.35,54.70,0.09,3.99,14.25,5.66,17.32,30.77,17.67,31.45,1.23
AUDROC,530889,,INE061B01038,Textiles & Apparels,Other Textile Products,15.93,10.35,57.50,2.50,0.18,6.80,0.04,28.16,0.68,1.14,,140.91,87.39,,
Augmont Enterpri,544888,AUGMONT,INE16W401027,Non - Ferrous Metals,Precious Metals,901.50,8237.32,24.70,94186.21,333.55,0.41,0.00,,50.93,5.87,42.21,53.51,16.78,45.60,0.24
Aureate Tradde,544772,,INE1KVL01010,Chemicals & Petrochemicals,Trading - Chemicals,39.21,50.92,9.68,150.30,5.26,6.02,0.00,,33.76,11.80,-13.81,104.67,7.89,-10.41,0.14
Aurionpro Sol.,532668,AURIONPRO,INE132H01018,IT - Software,Computers - Software & Consulting,689.70,3811.40,18.18,1432.34,209.60,19.25,0.29,2.19,13.44,7.25,14.76,7.52,11.89,28.87,0.59
Auro Impex,,AUROIMPEX,INE0NUL01018,Industrial Products,Electrodes & Refractories,27.50,33.55,8.06,250.20,4.16,3.57,0.00,0.65,8.44,15.71,-4.85,-10.34,6.00,2.55,-0.70
Auro Labs.,530233,,INE292C01011,Pharmaceuticals & Biotechnology,Pharmaceuticals,256.90,160.11,33.43,36.83,4.79,35.41,0.00,3.45,8.49,5.20,125.67,594.20,14.81,-16.55,2.11
Aurobindo Pharma,524804,AUROPHARMA,INE406A01037,Pharmaceuticals & Biotechnology,Pharmaceuticals,1653.10,95115.72,25.16,34935.29,3780.97,20.27,0.24,2.53,10.10,6.34,9.09,11.49,12.01,10.63,1.10
Aurum Proptech,539289,AURUM,INE898S01029,IT - Services,IT Enabled Services,225.16,1623.71,1727.35,430.55,0.94,24.51,0.00,3.20,-3.76,1.55,64.50,102.88,12.98,44.29,120.29
AURUS GEM,534532,AURUS,INE142K01011,Consumer Durables,"Gems, Jewellery And Watches",4.84,14.27,8.02,15.95,1.78,4.70,0.00,0.79,9.98,12.89,-2.86,111.68,6.97,3.73,0.03
Ausom Enter.,509009,AUSOMENT,INE218C01016,Consumer Durables,"Gems, Jewellery And Watches",161.79,220.36,8.88,4397.60,24.81,0.61,0.62,1.37,12.81,16.64,120.09,-11.14,5.83,127.21,0.06
Austere Sys.,544505,,INE104201012,IT - Software,Computers - Software & Consulting,41.10,43.07,8.55,22.29,5.04,28.22,0.49,1.23,19.66,17.41,19.71,25.69,5.35,13.22,0.21
Austin Engg Co,522005,AUSTENG,INE759F01012,Industrial Manufacturing,Industrial Products,124.70,43.40,10.21,121.39,4.25,5.40,0.00,0.61,7.06,20.62,4.23,0.71,3.96,4.12,2.74
Australian Prem,,APS,INE0P0001010,Electrical Equipment,Heavy Electrical Equipment,244.75,493.42,8.73,688.95,56.52,13.43,0.04,3.05,45.36,16.72,59.19,44.44,5.39,94.22,0.06
Authum Invest,539177,AIIL,INE206F01022,Finance,Non Banking Financial Company (NBFC),519.90,44151.23,21.10,2757.82,2092.95,87.95,0.02,3.03,13.16,5.18,-36.77,-48.91,19.21,88.86,0.21
Auto Pins (I),531994,,INE706C01028,Auto Components,Auto Components & Equipments,116.25,66.34,214.00,38.04,0.31,3.31,0.00,7.50,3.10,1.33,-12.19,6.90,47.65,-6.29,-6.74
Auto.Corp.of Goa,505036,ACGL,INE451C01013,Auto Components,Auto Components & Equipments,1797.60,1094.49,18.10,926.19,60.48,7.67,1.53,3.55,25.68,9.19,29.75,16.85,10.13,22.64,0.44
Autofurnish,544767,,INE18HI01019,Auto Components,Auto Components & Equipments,55.80,75.42,20.78,39.01,3.63,14.12,0.00,,21.97,7.34,17.01,2.86,13.05,54.44,0.11
Autoline Industr,532797,AUTOIND,INE718H01014,Auto Components,Auto Components & Equipments,86.45,392.27,16.10,937.55,24.36,8.99,0.00,1.99,11.24,9.44,42.18,49.91,7.85,8.24,0.14
Automotive Axles,505010,AUTOAXLES,INE449A01011,Auto Components,Auto Components & Equipments,1688.70,2551.63,13.96,2205.17,182.78,11.30,1.89,2.32,16.23,10.69,6.30,16.27,8.17,-2.14,9.63
Automotive Stamp,520119,ASAL,INE900C01027,Auto Components,Auto Components & Equipments,473.75,751.37,24.31,970.78,30.91,6.37,0.00,20.78,127.51,5.14,28.34,101.63,13.48,2.45,0.47
Autoriders Intl.,512277,,INE340U01010,Transport Services,Logistics Solution Provider,295.60,102.89,12.41,101.71,8.29,27.27,0.06,1.76,16.72,10.93,12.36,-5.47,4.53,12.84,1.15
Avadh Sugar,540649,AVADHSUGAR,INE349W01017,Agricultural Food & other Products,Sugar,809.50,1620.49,24.10,2756.16,67.25,8.32,1.24,1.44,5.63,5.75,4.23,-5.07,12.82,-1.26,-1.80
Available Fin.,531310,,INE325G01010,Finance,Other Financial Services,144.10,147.04,1.00,0.61,147.15,59.02,0.00,0.11,8.57,0.24,7.02,38.52,408.36,-0.55,-0.07
Avalon Tech,543896,AVALON,INE0LCL01028,Electrical Equipment,Other Electrical Equipment,2196.60,14675.87,109.85,1764.30,133.60,11.42,0.00,20.32,16.94,1.33,44.38,67.08,64.01,19.28,3.78
Avana Electrosystems,,AVANA,INE1KU201016,Electrical Equipment,Heavy Electrical Equipment,154.75,350.44,29.90,83.86,11.72,19.47,0.00,5.93,28.98,5.15,36.38,41.03,18.69,43.45,0.22
Avance Tech.,512149,AVANCE,INE758A01072,IT - Software,Software Products,0.82,162.52,11.54,182.49,14.08,0.21,0.00,0.41,3.42,5.12,12.43,197.67,19.54,73.43,0.05
Avantel,532406,AVANTEL,INE005B01027,Aerospace & Defense,Aerospace & Defense,154.96,4117.46,239.81,241.39,17.17,22.74,0.13,12.17,5.29,0.84,-3.16,-67.16,72.10,13.00,-13.92
Avanti Feeds,512573,AVANTIFEED,INE871C01038,Food Products,Animal Feed,798.60,10880.58,20.22,6359.97,538.06,10.06,1.25,3.31,18.29,7.69,11.41,-7.06,12.08,6.04,0.73
AVATAR Industries,,AVATAR,INE617I01024,Auto Components,Auto Components & Equipments,242.40,252.51,682.46,102.87,0.37,-0.19,0.00,7.13,1.05,0.19,,94.74,524.71,,
Avax Apparels,544337,,INE0NQ401024,Textiles & Apparels,Other Textile Products,37.95,31.55,10.62,41.53,2.97,11.51,0.00,3.29,36.69,12.51,20.87,82.21,7.34,41.37,0.17
Aveer Foods,543737,,INE09BN01011,Food Products,Packaged Foods,549.95,246.40,62.22,143.69,3.96,6.39,0.05,4.83,10.06,2.62,25.31,15.45,26.80,14.25,1.09
Avenue Super.,540376,DMART,INE192R01011,Retailing,Diversified Retail,3770.00,245896.73,80.41,71255.57,3058.13,7.56,0.00,10.05,12.94,1.76,15.58,12.96,45.36,17.12,10.39
AvenuesAI,539807,CCAVENUE,INE483S01020,Financial Technology (Fintech),Financial Technology (Fintech),15.70,5476.79,18.46,9516.04,296.65,3.95,0.00,1.15,6.64,7.61,110.17,38.50,10.56,60.52,0.62
AVG Logistics,543910,AVG,INE680Z01018,Transport Services,Logistics Solution Provider,166.04,310.63,26.35,562.63,11.79,14.52,0.72,1.15,3.80,8.76,1.80,-43.94,6.01,9.21,3.26
Avi Ansh,,AVIANSH,INE0TFB01017,Textiles & Apparels,Other Textile Products,102.50,143.26,112.80,140.85,1.27,4.65,0.00,3.28,2.95,2.11,4.97,-29.44,25.93,5.29,1.88
AVI Products,523896,,INE316O01021,Commercial Services & Supplies,Trading & Distributors,52.40,17.33,,0.60,-1.74,-315.00,0.00,3.36,-23.33,-9.82,-85.82,-335.00,-10.55,-31.31,
Avience Biomedi.,,AVIENCE,INE0V9I01017,Healthcare Equipment & Supplies,Medical Equipment & Supplies,275.00,150.84,17.24,52.51,8.75,28.45,0.00,,32.37,7.92,16.90,22.21,11.61,,
Avio Smart Market,532694,ASMS,INE855F01042,IT - Services,IT Enabled Services,7.07,215.34,33.59,103.96,5.94,4.61,0.00,6.30,19.03,2.48,159.64,2276.00,39.30,25.62,1.11
Avishkar Infra,508929,,INE433O01024,Realty,"Residential, Commercial Projects",567.20,1270.71,,0.00,-1.66,,0.00,102.73,-16.59,0.06,-100.00,-168.69,1665.60,,
Aviva Industries,512109,,INE461H01011,Commercial Services & Supplies,Trading & Distributors,60.90,197.92,76.42,121.55,2.59,2.89,0.00,1.99,4.82,1.79,405066.67,1277.27,55.85,391.19,0.16
Avonmore Capital,511589,AVONMORE,INE323B01024,Finance,Non Banking Financial Company (NBFC),13.02,367.40,23.81,206.16,15.43,11.58,0.00,0.95,3.62,10.14,12.26,-42.83,8.50,-3.41,-0.47
AVP Infracon,,AVPINFRA,INE0R9401019,Construction,Civil Construction,58.25,145.50,3.45,420.75,42.12,18.35,0.00,0.82,27.67,21.37,54.43,27.25,4.31,58.16,0.07
Avro India,543512,AVROIND,INE652Z01025,Consumer Durables,Plastic Products - Consumer,8.72,117.00,30.47,92.82,3.84,2.33,0.00,1.30,4.83,4.71,11.47,8.17,12.62,4.51,23.44
AVSL Industries,,AVSL,INE522V01011,Industrial Products,Plastic Products - Industrial,119.70,63.81,28.36,150.10,2.25,6.42,0.00,1.60,5.78,6.92,7.88,-10.00,9.74,14.06,0.60
AVT Natural Prod,519105,AVTNPL,INE488D01021,Agricultural Food & other Products,Other Agricultural Products,91.02,1386.23,16.55,822.02,83.78,13.82,0.88,2.48,12.16,7.94,40.77,54.04,11.45,7.00,-3.24
AWFIS Space,544181,AWFIS,INE108V01019,Commercial Services & Supplies,Diversified Commercial Services,260.80,1866.37,22.00,1583.70,84.84,36.97,0.00,3.38,14.01,8.40,23.29,69.78,4.79,39.91,0.42
AWL Agri Busine.,543458,AWL,INE699H01024,Agricultural Food & other Products,Edible Oil,187.29,24341.68,20.73,77720.16,1174.50,3.16,0.53,2.33,10.67,9.77,16.72,2.28,8.53,8.70,0.94
Axel Polymers,513642,,INE197C01012,Industrial Products,Plastic Products - Industrial,49.07,53.98,,48.90,-1.25,5.11,0.00,2.14,-5.60,2.35,-4.14,-278.57,30.73,-18.71,
Axentra Corp,511634,,INE919M01026,Construction,Civil Construction,304.60,600.06,612.31,10.34,1.04,6.96,0.00,,,,,,,,
Axis Bank,532215,AXISBANK,INE238A01034,Banks,Private Sector Bank,1273.00,396316.12,14.27,135731.89,27773.44,59.70,0.08,1.79,13.12,5.53,5.58,-0.32,18.07,14.87,0.41
Axis Solution,511144,,INE520G01024,IT - Software,Computers - Software & Consulting,556.80,2631.45,86.59,259.62,30.39,18.73,0.11,18.22,22.18,1.74,26.51,11.93,55.06,52.72,2.05
AXISCADES Tech.,532395,AXISCADES,INE555B01013,Aerospace & Defense,Aerospace & Defense,1711.60,7280.03,221.95,934.46,32.80,12.71,0.00,10.00,4.06,1.19,3.64,-47.47,58.17,-13.54,5.29
Axita Cotton,542285,AXITA,INE02EZ01022,Textiles & Apparels,Other Textile Products,8.01,306.52,78.80,271.98,3.89,1.06,0.00,4.72,2.97,2.47,-58.44,370.14,37.55,-12.24,-1.52
Axtel Industries,523850,AXTEL,INE767C01012,Industrial Manufacturing,Industrial Products,394.50,637.31,20.41,228.85,31.22,18.22,3.04,5.11,20.53,6.78,42.07,97.35,13.20,7.50,1.36
Aye Finance,544699,AYE,INE501X01029,Finance,Non Banking Financial Company (NBFC),184.81,4560.85,19.20,1871.78,237.54,43.68,0.00,1.80,9.24,9.77,24.30,13.05,9.91,42.79,0.36
AYM Syntex,508933,AYMSYNTEX,INE193B01039,Textiles & Apparels,Other Textile Products,310.70,1826.54,97.21,1389.67,18.79,7.74,0.00,3.09,1.13,2.87,-5.35,222.85,17.06,-2.17,-17.08
Azad Engineering,544061,AZAD,INE02IJ01035,Electrical Equipment,Heavy Electrical Equipment,2777.30,17936.29,129.05,638.49,138.99,37.66,0.00,11.73,9.09,1.21,28.72,39.10,64.87,33.81,0.86
Azad India,504731,AZADIND,INE566M01017,Industrial Products,Iron & Steel Products,89.59,487.76,158.36,73.70,3.08,3.55,0.00,3.64,2.46,0.82,340.79,1953.33,115.99,,
Aztec Fluids,544177,,INE0SCB01016,IT - Hardware,Computers Hardware & Equipments,97.95,133.21,18.17,96.53,7.33,13.66,0.51,2.32,13.62,7.88,9.17,17.66,10.69,,
B & A,508136,BNALTD,INE489D01011,Agricultural Food & other Products,Tea & Coffee,360.00,111.60,150.81,299.10,0.74,5.98,0.00,0.81,-2.85,8.29,11.00,-92.03,8.19,-1.05,
B & A Packaging,523186,,INE00FM01013,Industrial Products,Packaging,200.40,99.40,12.81,149.25,7.76,8.54,0.50,1.11,8.24,10.34,13.58,-4.20,8.03,2.64,-2.28
B C C Fuba India,517246,,INE788D01016,IT - Hardware,Computers Hardware & Equipments,224.95,444.10,52.68,82.29,8.43,17.39,0.00,9.75,17.03,2.91,55.47,101.19,30.34,36.33,1.43
B H E L,500103,BHEL,INE257A01026,Electrical Equipment,Heavy Electrical Equipment,431.10,150111.75,61.71,35992.99,2432.47,9.40,0.32,5.74,6.23,2.71,27.00,739.36,34.11,13.08,1.71
B N Rathi Sec.,523019,,INE710D01028,Finance,Other Financial Services,17.80,74.32,7.03,58.84,10.57,11.71,2.81,0.94,12.60,-198.33,28.56,44.60,-0.48,10.52,1.04
B P C L,500547,BPCL,INE029A01011,Petroleum Products,Refineries & Marketing,315.70,136966.62,8.84,493953.61,15499.28,5.47,5.54,1.37,28.75,13.81,12.33,-11.73,5.42,-1.28,0.08
B-Right Real,543543,,INE0IZQ01016,Realty,"Residential, Commercial Projects",925.00,955.64,27.65,167.79,34.56,39.12,0.00,5.42,21.76,5.75,62.23,1172.86,16.93,113.59,0.16
B. D. Industries,544468,,INE1LJ801017,Industrial Products,Plastic Products - Industrial,108.50,154.18,16.13,100.64,9.56,17.15,0.00,2.15,20.59,9.28,22.17,25.62,9.21,22.60,0.19
B.A.G. Converge.,,BAGDIGITAL,INE17CQ01015,Entertainment,Digital Entertainment,105.00,222.80,20.69,43.21,10.77,42.26,0.00,2.90,21.73,9.18,21.27,14.45,9.18,20.36,0.71
B.C. Power,537766,BCP,INE905P01028,Industrial Products,Cables - Electricals,1.74,12.15,17.36,129.97,0.70,-0.86,0.00,0.29,1.75,13.74,40.16,55.56,7.28,1.31,3.88
B.L.Kashyap,532719,BLKASHYAP,INE350H01032,Construction,Civil Construction,59.34,1337.76,36.34,1387.83,36.81,7.55,0.00,2.54,2.59,6.82,21.77,127.36,12.78,7.51,-1.14
B.R.Goyal Infra.,544335,,INE00ST01011,Construction,Civil Construction,193.00,459.82,10.26,811.50,44.82,9.48,0.13,1.68,17.85,14.45,61.80,80.43,6.26,32.95,0.25
B&B Triplewall,543668,BBTCL,INE01EE01011,Industrial Products,Packaging,230.22,472.21,13.29,637.86,35.54,16.56,0.43,3.44,18.19,9.58,21.00,825.31,6.54,21.85,1.55
B2B Soft.Tech.,531268,,INE151B01011,IT - Software,Software Products,22.46,39.03,12.55,31.37,3.11,8.73,2.97,1.56,11.55,13.35,22.68,43.32,7.25,15.50,2.33
Baazar Style,544243,STYLEBAAZA,INE01FR01028,Retailing,Speciality Retail,400.25,3046.60,111.64,1950.21,27.29,14.29,0.00,6.63,5.16,2.54,34.94,59.50,13.89,32.69,1.95
Baba Arts,532380,,INE893A01036,Entertainment,"Film Production, Distribution & Exhibition",13.83,72.61,117.11,11.35,0.62,-4.05,0.00,2.65,2.40,1.21,37.41,-48.33,74.99,74.99,-8.39
Baba Food,,BABAFP,INE0QW501012,Food Products,Other Food Products,23.85,38.94,,205.04,-1.43,1.55,0.00,0.63,-2.29,1.47,0.40,-133.18,25.82,2.98,
Bacil Pharma,524516,,INE711D01018,Pharmaceuticals & Biotechnology,Pharmaceuticals,15.30,21.96,33.78,0.00,0.65,,0.00,0.89,6.21,0.79,,-41.44,125.82,,0.26
Bafna Pharma.,532989,BAFNAPH,INE878I01022,Pharmaceuticals & Biotechnology,Pharmaceuticals,295.85,699.87,89.84,142.58,7.79,8.26,0.00,7.28,12.27,1.54,-3.13,-22.64,41.22,9.30,-748.67
BAG Films,532507,BAGFILMS,INE116D01028,Entertainment,TV Broadcasting & Software Production,4.51,98.28,20.91,157.20,4.70,12.47,0.00,0.55,2.27,8.52,13.13,-29.00,9.92,10.34,0.36
Bagmane Prime REIT,544758,BAGMANE,INE2OVN25015,Realty,Real Estate Investment Trusts (REITs),106.28,36135.20,,0.00,-0.26,,1.41,19.82,-0.02,0.00,-100.00,-100.03,-151791.31,,
Baheti Recycling,,BAHETI,INE029Q01017,Industrial Products,"Aluminium, Copper & Zinc Products",846.00,877.18,32.42,724.86,27.06,8.41,0.00,9.36,35.42,5.29,38.37,50.75,17.98,26.55,0.45
Bai-Kakaji Poly.,544670,,INE1IJQ01026,Consumer Durables,Plastic Products - Consumer,297.35,636.46,29.01,353.23,21.94,13.62,0.00,3.64,19.20,5.89,8.72,20.75,11.66,9.02,0.39
Baid Finserv,511724,BAIDFIN,INE020D01022,Finance,Non Banking Financial Company (NBFC),10.12,164.04,10.72,95.12,15.30,53.77,0.99,0.67,7.27,11.90,9.47,6.62,8.26,20.98,0.83
Bajaj Auto,532977,BAJAJ-AUTO,INE917I01010,Automobiles,2/3 Wheelers,11919.00,327538.69,27.79,71460.48,11787.50,19.82,1.26,8.58,29.15,4.83,36.91,55.23,19.60,19.94,1.32
Bajaj Consumer,533229,BAJAJCON,INE933K01021,Personal Products,Personal Care,517.55,6760.15,30.31,1239.58,223.04,21.29,0.00,8.95,24.66,4.07,24.92,76.43,23.13,6.62,2.97
Bajaj Electrical,500031,BAJAJELEC,INE193E01025,Consumer Durables,Household Appliances,331.15,3821.23,,4486.93,-40.98,4.06,0.91,2.40,-0.72,2.83,-5.30,-142.93,15.50,-3.01,
Bajaj Finance,500034,BAJFINANCE,INE296A01032,Finance,Non Banking Financial Company (NBFC),1060.50,660262.45,32.24,85963.63,20480.62,68.14,0.51,5.79,18.25,5.33,17.85,17.53,18.42,25.57,1.73
Bajaj Finserv,532978,BAJAJFINSV,INE918I01026,Finance,Holding Company,1970.00,315606.09,30.71,157641.68,10277.36,37.79,0.08,4.05,13.23,8.00,14.54,7.91,12.21,22.41,1.95
Bajaj Healthcare,539872,BAJAJHCARE,INE411U01027,Pharmaceuticals & Biotechnology,Pharmaceuticals,321.45,1082.09,19.23,627.82,56.27,17.37,0.47,2.03,9.40,6.74,12.27,19.55,11.14,-1.83,6.50
Bajaj Hindusthan,500032,BAJAJHIND,INE306A01021,Agricultural Food & other Products,Sugar,21.86,5226.00,40.34,5332.31,129.55,5.11,0.00,5.19,24.41,0.66,-1.93,197.97,39.12,-4.88,0.90
Bajaj Holdings,500490,BAJAJHLDNG,INE118A01012,Finance,Holding Company,11162.00,124221.90,14.03,1139.25,8856.69,84.69,1.30,1.70,11.90,7.30,30.15,27.18,13.64,29.06,0.76
Bajaj Housing,544252,BAJAJHFL,INE377Y01014,Finance,Housing Finance Company,83.08,69225.04,25.62,11604.20,2702.43,91.31,0.00,3.07,12.11,6.10,16.29,19.39,16.30,25.32,0.95
Bajaj Steel Inds,507944,BAJAJST,INE704G01024,Industrial Manufacturing,Industrial Products,362.95,754.94,25.82,537.00,29.24,9.80,0.28,1.78,9.10,6.44,-2.59,-48.34,11.05,-1.52,-1.75
Bajel Projects,544042,BAJEL,INE0KQN01018,Electrical Equipment,Heavy Electrical Equipment,183.82,2126.74,78.83,2750.82,26.98,3.43,0.33,2.84,4.10,4.21,2.11,109.15,19.54,,
Bal Pharma,524824,BALPHARMA,INE083D01012,Pharmaceuticals & Biotechnology,Pharmaceuticals,87.73,139.67,19.40,334.41,7.20,10.11,1.37,1.70,7.87,8.26,13.52,0.70,8.24,0.82,0.55
Balaji Amines,530999,BALAMINES,INE050E01027,Chemicals & Petrochemicals,Specialty Chemicals,2525.20,8181.90,40.08,1522.57,204.14,21.45,0.44,4.14,8.74,3.68,11.08,34.10,22.86,-15.42,-2.02
Balaji Phos.,,BALAJIPHOS,INE0PQ601019,Fertilizers & Agrochemicals,Fertilizers,114.00,271.06,26.52,170.47,10.22,11.14,0.00,2.99,11.97,5.96,34.74,29.04,15.82,5.65,1.41
