symbol,date,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,inside_bar,is_52w_high,is_52w_low,name,industry_group,industry,rs_percentile,cond8_rs_at_least_70,all_conditions_met
542155.BO,2026-08-10,0.9800000190734863,1.0383333265781403,1.051111102104187,1.0659999990463256,1.274733334382375,1.4819000029563905,1.0216182824342956,0.9800000190734863,3.7899999618530273,False,False,False,False,False,False,False,False,False,-72.85318427834821,red,109.1703056768559,False,False,False,True,Diksha Greens,Commercial Services & Supplies,Trading & Distributors,6.696428571428571,False,False
543400.BO,2026-08-10,2.430000066757202,2.509999990463257,2.582777784930335,2.6674000024795532,3.6601333379745484,4.106000007390976,2.5308051818706203,2.309999942779541,8.600000381469727,False,False,False,False,False,False,False,False,False,-71.74418652360666,red,501.5673981191223,False,False,False,False,Omnipotent,Petroleum Products,Refineries & Marketing,7.5892857142857135,False,False
538765.BO,2026-08-10,2.4600000381469727,2.466666658719381,3.026111112700568,3.8257999992370606,6.299733266830445,6.319749982357025,2.479112222534385,2.240000009536743,8.239999771118164,False,False,False,False,False,False,False,False,False,-59.73813446167622,dry,0.0,False,False,False,False,JLA Infraville,Retailing,Internet & Catalogue Retail,14.285714285714285,False,False
543613.BO,2026-08-10,5.0,5.368333299954732,5.338888949818081,5.580000047683716,6.487000017166138,7.52664999961853,5.354017746354104,4.5,16.0,False,False,False,False,False,False,False,False,False,-67.29888808061162,noise,53.475935828877006,False,False,False,True,Mafia Trends,Retailing,Speciality Retail,9.375,False,False
JALAN.NS,2026-08-10,1.649999976158142,1.625,1.8750000198682149,1.9530000162124634,2.3646666693687437,2.587750000357628,1.6566311324906486,1.5,7.099999904632568,False,False,False,False,False,False,False,False,False,-76.76056340392964,noise,56.17977528089888,False,False,False,False,Jalan Transol.,Transport Services,Logistics Solution Provider,5.803571428571429,False,False
539026.BO,2026-08-10,7.420000076293945,7.9533335367838545,8.304444630940756,8.840400085449218,10.006800130208333,9.764550070762635,7.781480056164032,4.5,10.59000015258789,False,True,False,False,False,True,False,False,False,18.530348322675838,noise,625.0,False,False,False,False,SSPN FINANCE,Finance,Other Financial Services,91.07142857142857,True,False
535917.BO,2026-08-10,4.400000095367432,3.849999964237213,4.035555587874518,4.168400087356567,4.4022667026519775,4.569450001716614,3.9175259204479995,3.299999952316284,5.28000020980835,False,False,False,False,True,True,True,True,False,8.374388112801823,green,714.2857142857143,False,False,False,False,GCM Commodity,Finance,Other Financial Services,85.71428571428571,True,False
539099.BO,2026-08-10,4.010000228881836,3.7750001351038613,3.485277818308936,3.660800046920776,4.004666687647502,4.293400020599365,3.8367249246369957,2.930000066757202,8.9399995803833,False,False,False,False,True,True,False,True,False,-46.53333028157552,dry,0.0,False,False,False,False,Athena Construc.,Realty,"Residential, Commercial Projects",31.69642857142857,False,False
537582.BO,2026-08-10,1.2000000476837158,1.3300000031789143,1.3630555603239272,1.3620000028610229,1.483200004895528,1.591300002336502,1.2994752567084344,1.1200000047683716,2.799999952316284,False,False,False,False,False,False,False,False,False,-38.46153752103126,red,762.7118644067797,False,False,False,True,Unishire Urban,Realty,"Residential, Commercial Projects",43.30357142857143,False,False
543536.BO,2026-08-10,5.0,4.74916656812032,4.5863888131247625,4.692199983596802,5.932466618220011,6.748099935054779,4.824680175053183,4.210000038146973,9.649999618530273,False,False,False,False,True,False,False,True,False,-42.72622838283482,dry,0.0,False,False,False,False,Silver Pearl,Leisure Services,Hotels & Resorts,35.714285714285715,False,False
