symbol,date,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,inside_bar,is_52w_high,is_52w_low,data_source,industry_group,industry,rs_percentile,cond8_rs_at_least_70,all_conditions_met
ABB.NS,2026-06-29,7128.0,7048.25,6880.291666666667,6994.652744140625,6061.71484375,5837.802922363281,7077.183616965965,4618.610322519749,7790.636939142663,True,True,True,True,True,True,True,True,False,19.444336485401024,ppv,214.1812130431441,False,False,False,False,,Electrical Equipment,Heavy Electrical Equipment,79.24836601307189,True,True
ACCORD.NS,2026-06-25,133.25,102.22083218892415,70.22222222222223,62.71900016784668,38.95933338165283,34.59500003814697,108.9131321367488,19.850000381469727,133.25,True,True,True,True,True,True,True,True,False,501.58014580065975,ppv,96.61835748792271,False,False,True,False,,Telecom - Services,Other Telecom Services,99.79575163398692,True,True
ACUTAAS.NS,2026-06-29,3568.199951171875,3201.050008138021,3055.6166788736978,2907.796005859375,2274.2533333333336,2098.418792114258,3275.366957473708,1057.9228658449745,3603.60009765625,True,True,True,True,True,True,True,True,False,226.7319034447992,ppv,442.8242378486389,True,False,True,False,,Pharmaceuticals & Biotechnology,Pharmaceuticals,99.18300653594771,True,True
ABSLAMC.NS,2026-06-29,1170.800048828125,1147.3916524251301,1074.5611131456162,1067.3940002441407,919.2250028483073,891.2942520141602,1153.258377172626,708.0,1224.9000244140625,True,True,True,True,True,True,True,True,False,56.902601461548194,ppv,309.5010561217466,False,False,False,False,,Capital Markets,Asset Management Company,92.44281045751634,True,True
AEGISLOG.NS,2026-06-29,1174.0999755859375,1030.4166666666667,826.3847249348959,795.9530029296875,727.7590010579427,740.8027502441406,1047.5525278601315,576.0999755859375,1186.949951171875,True,False,True,True,True,True,True,True,False,51.039048121557016,ppv,191.93495632009973,False,False,True,False,,Gas,Trading - Gas,90.93137254901961,True,False
AGARWALFT.NS,2026-06-25,39.599998474121094,32.46249977747599,33.82361072964139,34.95899978637695,34.88633321126302,41.6464998626709,34.45595668577874,21.850000381469727,71.25,False,False,False,False,True,True,False,True,False,-20.481929556634892,ppv,111.11111111111111,False,False,False,False,,Industrial Products,Glass - Industrial,37.254901960784316,False,False
GOLDTECH.NS,2026-06-29,58.380001068115234,44.91833337148031,43.45416694217258,42.519200286865235,44.42700003306071,48.68725003242493,47.225214929922124,29.68000030517578,80.44000244140625,True,False,False,False,True,True,False,True,False,-9.823906403329596,ppv,1283.4012567034576,True,False,False,False,,IT - Software,Software Products,50.98039215686274,False,False
AJANTPHARM.NS,2026-06-29,3384.199951171875,3152.0082804361978,3094.138861762153,3025.4519775390627,2867.653994140625,2767.7496740722654,3184.8866163296134,2304.0552404050886,3479.0,True,True,True,True,True,True,True,True,False,33.422774773990874,ppv,657.3129707599804,True,False,True,False,,Pharmaceuticals & Biotechnology,Pharmaceuticals,86.11111111111111,True,True
ABDL.NS,2026-06-29,659.5,626.1490834554037,576.218980577257,568.7483422851562,534.9827276611328,543.8834124755859,624.0726562443332,378.81990505354565,690.818421432556,True,False,True,True,True,True,True,True,False,55.73677586583625,ppv,396.95040138111796,True,False,False,False,,Beverages,Breweries & Distilleries,92.19771241830065,True,False
AMAGI.NS,2026-06-29,,,,,,,,,,False,False,False,False,False,False,False,False,False,,ppv,902.6122663694022,False,False,True,False,,IT - Services,IT Enabled Services,,False,False
ANUHPHR.NS,2026-06-29,79.87000274658203,78.78833325703938,78.08388900756836,79.17320007324219,77.8709999593099,79.51309993743897,78.68560908193257,67.0,112.88599472028743,True,False,False,False,True,False,False,True,False,-20.226828853831147,ppv,148.4812875131818,False,False,False,False,,Pharmaceuticals & Biotechnology,Pharmaceuticals,37.86764705882353,False,False
APTUS.NS,2026-06-29,267.1499938964844,267.92500559488934,264.79676776462134,262.8781716918945,256.60093475341796,269.7538300323486,266.37921204095835,191.24135126964168,358.18094852268683,False,False,False,False,True,True,False,True,False,-16.051280428394975,ppv,81.13321480287767,False,False,False,False,,Finance,Housing Finance Company,43.13725490196079,False,False
