symbol,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,inside_bar,is_52w_high,is_52w_low,data_source,industry_group,industry,rs_percentile,cond8_rs_at_least_70,all_conditions_met
INDOTHAI.NS,223.1199951171875,233.75666427612305,245.45388709174262,260.5057989501953,287.5429998779297,296.54689987182616,230.76214439934068,143.64999389648438,466.3500061035156,False,False,True,False,False,True,False,False,False,20.57948508283247,noise,55.27249125675807,False,False,False,False,,Capital Markets,Stockbroking & Allied,79.8202614379085,True,False
INDOUS.NS,89.80000305175781,90.01583353678386,97.47138913472493,99.80080017089844,113.95006663004557,119.45545032501221,90.52010749866794,87.9000015258789,206.0,False,False,False,False,False,False,False,False,False,-40.83541719990662,noise,30.563910769257912,False,False,False,False,,Agricultural Food & other Products,Other Agricultural Products,12.295751633986928,False,False
INDOCO.NS,234.05999755859375,236.5375010172526,219.04083379109701,218.07959991455078,217.27773315429687,234.01804977416992,232.4929816849587,162.19000244140625,349.5517008402885,True,False,False,False,True,True,False,True,False,-17.800929285039548,ppv,137.46623402296333,False,False,False,False,,Pharmaceuticals & Biotechnology,Pharmaceuticals,41.05392156862745,False,False
IGCL.NS,,,,,,,,,,False,False,False,False,False,False,False,False,False,,noise,90.42971265646406,False,False,False,False,,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,,False,False
WAAREEINDO.NS,393.54998779296875,398.3666687011719,398.4513888888889,414.23000061035157,429.3840006510417,464.8490008544922,401.14215182006217,200.6199951171875,725.0,False,False,False,False,False,True,False,False,False,96.16688135351896,noise,79.03420973896485,False,False,False,False,,Electrical Equipment,Heavy Electrical Equipment,96.11928104575163,True,False
INDOSTAR.NS,254.9600067138672,247.47666676839194,228.1341667175293,222.79660034179688,223.56779998779297,230.30785011291505,249.78840272304836,179.02999877929688,366.29998779296875,True,False,False,False,True,True,False,True,False,-24.857053967995846,noise,25.502300547089536,False,False,False,False,,Finance,Non Banking Financial Company (NBFC),31.61764705882353,False,False
INDOWIND.NS,9.069999694824219,9.164166688919067,9.560833321677315,9.893800010681153,11.498399982452392,12.666239194869995,9.168162457422623,7.0,21.0,False,False,False,False,False,False,False,False,False,-53.62985714484918,noise,49.11585510971488,False,False,False,False,,Power,Power Generation,5.065359477124183,False,False
INDRAMEDCO.NS,380.1499938964844,384.7374979654948,384.50277540418836,390.9759979248047,413.9009997558594,442.0412351989746,385.8077727789418,342.0,640.8499755859375,False,False,False,False,False,False,False,False,True,-3.7517988460342377,noise,35.04277077186848,False,False,False,False,,Healthcare Services,Hospital,58.98692810457516,False,False
IGL.NS,165.4499969482422,167.82583491007486,162.67611185709634,163.85080108642578,170.20932698567708,179.54904396057128,167.67449713647616,141.74000549316406,223.11416887517555,False,False,False,False,True,False,False,False,False,-17.697558805859348,red,155.16217156776548,False,False,False,False,,Gas,LPG/CNG/PNG/LNG Supplier,41.25816993464052,False,False
INDUSTOWER.NS,394.6499938964844,408.2291666666667,420.24305470784503,416.57099975585936,425.9086663818359,411.0594993591309,405.02691447687596,312.54998779296875,481.5,False,True,True,False,False,False,True,False,False,-4.915069147444506,noise,68.52069221041607,False,False,False,False,,Telecom - Services,Telecom - Infrastructure,57.14869281045751,False,False
