symbol,date,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,inside_bar,is_52w_high,is_52w_low,data_source,industry_group,industry,rs_percentile,cond8_rs_at_least_70,all_conditions_met
AFCONS.NS,2026-09-01,285.25,281.75,280.5691095987956,288.2448016357422,304.6251279703776,323.6909652709961,282.8441261240536,259.1000061035156,476.09320955207187,False,False,False,False,False,False,False,True,True,-32.49559278408217,noise,25.681124640231566,False,True,False,False,,Construction,Civil Construction,21.29032258064516,False,False
BHAGYANGR.NS,2026-09-01,380.0,386.6749979654948,386.2930552164714,387.3659997558594,279.8798666381836,247.3493501663208,384.76697826964596,86.0,432.29998779296875,True,True,True,True,False,True,True,False,True,322.1753038344212,noise,68.87386690118204,False,False,False,False,,Non - Ferrous Metals,Copper,99.4758064516129,True,False
CGCL.NS,2026-09-01,250.89999389648438,238.96916707356772,238.78500154283313,237.21360107421876,200.9049336751302,196.49260032653808,245.05733116686002,151.10000610351562,264.5299987792969,True,True,True,True,True,True,True,True,True,32.92083073710472,noise,45.294843199066065,False,False,False,False,,Finance,Non Banking Financial Company (NBFC),82.29838709677419,True,True
DTL.NS,2026-08-31,125.0,122.0,121.65555572509766,121.66800003051758,119.16999989827474,126.13324974060059,123.544145124078,82.05000305175781,178.0,False,False,False,False,True,True,False,True,True,-10.104281009276972,dry,0.0,False,False,False,False,,Commercial Services & Supplies,Diversified Commercial Services,48.14516129032258,False,False
EMKAY.NS,2026-09-01,264.1000061035156,244.22749964396158,242.83441289265951,249.77054931640626,239.85452779134116,249.48488388061523,248.59019842463678,184.84590656704063,407.3566688537535,True,False,False,True,True,True,False,True,True,21.981512124497392,ppv,237.7405074067768,False,False,False,False,,Capital Markets,Stockbroking & Allied,76.5725806451613,True,False
GEEKAYWIRE.NS,2026-09-01,29.09000015258789,23.786666870117188,23.44611120223999,23.952000160217285,24.464666735331217,26.311149997711183,24.74803887206427,18.510000228881836,40.264160161733315,True,False,False,False,True,True,False,True,True,-16.176778043762198,ppv,646.4642113404773,True,False,False,False,,Industrial Products,Iron & Steel Products,40.403225806451616,False,False
IL&FSTRANS.NS,2026-09-01,2.2300000190734863,2.121666649977366,2.1202777690357633,2.1474000120162966,2.308466658592224,2.439049997329712,2.161064349823415,1.75,3.3399999141693115,False,False,False,False,True,False,False,True,True,-30.745341637901568,green,101.28320567732854,False,False,False,False,,Construction,Civil Construction,23.06451612903226,False,False
ITALIANE.NS,2026-08-31,34.099998474121094,32.641666094462074,32.60555542839898,33.51599990844726,35.1736664835612,33.96924984931946,33.33745751840511,24.049999237060547,49.0,False,True,False,False,True,True,False,True,True,4.9125436372246645,red,227.27272727272728,False,False,False,False,,Food Products,Packaged Foods,64.71774193548387,False,False
JINDALPOLY.NS,2026-09-01,694.4500122070312,645.7749938964844,644.5430518256294,644.9819946289062,670.2623313395183,621.9492485046387,648.5758499052288,365.0,1026.449951171875,True,True,True,False,True,True,False,True,True,14.609805929660125,ppv,505.04064948344603,True,False,False,False,,Industrial Products,Packaging,72.58064516129032,True,False
JINDWORLD.NS,2026-09-01,42.08000183105469,36.53416728973389,36.462222523159454,34.640200271606446,28.84893341064453,29.049400053024293,37.583576157487414,17.850000381469727,44.25,True,False,False,True,True,True,True,True,True,14.34783343331365,ppv,739.7765489187026,False,False,True,False,,Textiles & Apparels,Other Textile Products,72.33870967741936,True,False
