symbol,date,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,inside_bar,is_52w_high,is_52w_low,data_source,name,industry_group,industry
542155.BO,2026-08-31,0.9300000071525574,0.9391666700442632,1.0119444479544957,1.019199994802475,1.171400001446406,1.4046500036120415,0.9390000577351056,0.9100000262260437,2.309999942779541,False,False,False,False,False,False,False,False,False,-59.74025843336077,dry,0.0,False,False,False,False,,Diksha Greens,Commercial Services & Supplies,Trading & Distributors
543400.BO,2026-08-31,2.4700000286102295,2.4166667064030967,2.4900000161594815,2.5314000177383424,3.3816666746139528,3.822850006818771,2.4119728401591867,2.1600000858306885,8.170000076293945,False,False,False,False,False,False,False,True,False,-67.71241832917134,green,143.44262295081967,False,False,False,False,,Omnipotent,Petroleum Products,Refineries & Marketing
538765.BO,2026-08-31,2.119999885559082,2.371666669845581,2.4680555595291986,2.7572000074386596,5.690666610399882,6.003749974966049,2.3358520184587794,2.119999885559082,8.239999771118164,False,False,False,False,False,False,False,False,False,-63.51118921793206,noise,33.78378378378378,False,False,False,True,,JLA Infraville,Retailing,Internet & Catalogue Retail
543613.BO,2026-08-31,4.710000038146973,4.472499926884969,5.000555528534783,5.0908000278472905,6.245133345921834,7.024100003242492,4.43960848056817,3.5999999046325684,16.0,False,False,False,False,False,True,False,True,False,-66.50071196601446,green,524.6913580246913,True,False,False,False,,Mafia Trends,Retailing,Speciality Retail
JALAN.NS,2026-08-31,1.899999976158142,1.8458333313465118,1.741666664679845,1.8470000123977661,2.177333335081736,2.456750000119209,1.8649847831311366,1.5,6.300000190734863,False,False,False,False,True,False,False,True,False,-68.85245892028276,dry,0.0,False,False,False,False,,Jalan Transol.,Transport Services,Logistics Solution Provider
539026.BO,2026-08-31,6.369999885559082,6.643333236376445,7.538888997501797,7.827400121688843,9.627666775385539,9.643600080013275,6.572680931662902,4.5,10.59000015258789,False,False,False,False,False,True,False,False,False,23.689315875723473,dry,0.0,False,False,False,False,,SSPN FINANCE,Finance,Other Financial Services
535917.BO,2026-08-31,4.400000095367432,4.400000095367432,4.088888910081652,4.135400047302246,4.340266714096069,4.532050006389618,4.376219570473576,3.299999952316284,5.28000020980835,False,False,False,False,True,True,True,True,False,3.2863816658137424,dry,0.0,False,False,False,False,,GCM Commodity,Finance,Other Financial Services
539099.BO,2026-08-31,4.010000228881836,4.010000228881836,3.683055692248874,3.6374000978469847,3.967666711807251,4.181100041866302,4.001459714383265,2.930000066757202,7.5,False,False,False,False,True,True,False,True,False,-38.30768878643329,dry,0.0,False,False,False,False,,Athena Construc.,Realty,"Residential, Commercial Projects"
537582.BO,2026-08-31,1.100000023841858,1.1725000242392223,1.2911111348205142,1.310000011920929,1.4418666704495748,1.5257500058412552,1.1559344181257964,1.100000023841858,2.799999952316284,False,False,False,False,False,False,False,False,False,-39.22651609852351,dry,0.0,False,False,False,True,,Unishire Urban,Realty,"Residential, Commercial Projects"
543536.BO,2026-08-31,4.519999980926514,4.836666663487752,4.771944377157423,4.67879994392395,5.588599952061971,6.389549963474273,4.740321797042688,4.210000038146973,9.649999618530273,False,False,False,False,False,False,False,False,False,-53.16062010772469,dry,0.0,False,False,False,False,,Silver Pearl,Leisure Services,Hotels & Resorts
537573.BO,2026-08-31,10.15999984741211,9.96999994913737,8.946666585074531,9.521599941253662,13.493266690572103,14.25175006866455,9.930977295703315,6.699999809265137,20.309999465942383,False,False,False,False,True,True,False,True,False,-46.63865882944097,dry,0.0,False,False,False,False,,Polymac Thermof.,Industrial Products,Plastic Products - Industrial
538731.BO,2026-08-31,4.039999961853027,3.8391666809717813,4.026111218664381,4.0632000827789305,4.165666667620341,4.329700006246567,3.896673736741943,3.0199999809265137,6.599999904632568,False,False,False,False,False,True,False,True,False,-30.103809425519312,noise,347.22222222222223,False,False,False,False,,Hanman Fit,Leisure Services,Amusement Parks/ Other Recreation
543366.BO,2026-08-31,50.5,48.77916685740153,47.7891665564643,46.46619995117187,42.21286656697591,40.972749919891356,48.78009140986279,30.549999237060547,54.599998474121094,True,True,False,True,True,True,True,True,False,35.3887427156411,ppv,228.7581699346405,False,False,False,False,,SBL Infratech,Realty,"Residential, Commercial Projects"
544156.BO,2026-08-31,12.609999656677246,12.553333282470703,11.016111056009928,11.707999973297119,14.182933305104573,15.523649954795838,12.55665652539313,9.029999732971191,28.350000381469727,False,False,False,False,True,True,False,True,False,-46.248933722152785,ppv,649.3506493506493,True,False,False,False,,Gconnect Logitec,Transport Services,Logistics Solution Provider
PERFECT.NS,2026-08-31,8.100000381469727,8.100000381469727,8.100000381469727,8.100000381469727,8.100000381469727,8.100000381469727,8.100000381469728,8.100000381469727,8.100000381469727,False,False,False,False,False,False,True,False,False,0.0,dry,,False,False,True,True,,Perfect Infraeng,Electrical Equipment,Other Electrical Equipment
