symbol,date,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,inside_bar,is_52w_high,is_52w_low,data_source,industry_group,industry,rs_percentile,cond8_rs_at_least_70,all_conditions_met,total_market_cap_cr,traded_value_cr,traded_volume,traded_val_pct_mc,price_band
ABB.NS,2026-09-01,7396.0,7526.041666666667,7461.024183485243,7292.26060546875,6712.979765625,6287.072041015625,7525.943055466097,4564.870705303207,7832.294844565128,True,True,True,True,True,True,True,False,False,46.539650868764795,noise,77.4199317105648,False,True,False,False,,Electrical Equipment,Heavy Electrical Equipment,87.5,True,True,156727.43,235.78,318795.0,0.1504,No Band
ACMESOLAR.NS,2026-09-01,403.70001220703125,392.1750005086263,379.26666768391925,377.88200012207034,309.59185017903644,289.03493606567383,394.4253526355161,195.72747422084996,411.5,True,True,True,True,True,True,True,True,False,43.20604320568595,noise,72.21130920086047,False,True,False,False,,Power,Power Generation,86.37096774193549,True,True,28512.99,95.08,2355147.0,0.3335,20
ADOR.NS,2026-09-01,1700.800048828125,1612.0250040690105,1513.0716722276475,1442.3466040039064,1165.060662434896,1132.344891052246,1620.305026046738,833.6830524113437,1766.4000244140625,True,True,True,True,True,True,True,True,False,78.82144177942618,noise,80.60500592230837,False,True,False,False,,Industrial Products,Other Industrial Products,92.94354838709677,True,True,2959.87,8.98,52778.0,0.3033,20
AETHER.NS,2026-09-01,1683.699951171875,1653.8500061035156,1564.794440375434,1512.8819970703125,1232.4116711425781,1150.5925033569335,1661.9135528184381,726.4500122070312,1717.0,True,True,True,True,True,True,True,True,False,127.00551752207639,noise,24.78273143011341,False,True,False,False,,Chemicals & Petrochemicals,Specialty Chemicals,97.01612903225806,True,True,22347.39,67.57,401339.0,0.3024,20
ALIVUS.NS,2026-09-01,1443.699951171875,1371.8739929199219,1267.9032660590278,1230.7616528320314,1076.260800374349,1030.2219702148439,1375.4499830456243,816.0868402393627,1488.4866814641196,True,True,True,True,True,True,True,True,False,54.16615122785671,ppv,254.0752420502217,False,True,True,False,,Pharmaceuticals & Biotechnology,Pharmaceuticals,89.47580645161291,True,True,17724.51,19.82,137318.0,0.1118,20
ANANDRATHI.NS,2026-09-01,2197.0,2185.6916300455728,2118.9249911838106,2091.985993652344,1807.1722916666668,1729.5638909912109,2185.710164975803,1351.1991966764108,2242.0,True,True,True,True,True,True,True,True,False,51.05123387689816,noise,61.85054361622653,False,True,False,False,,Capital Markets,Financial Products Distributor,88.62903225806451,True,True,36479.27,95.41,434263.0,0.2615,20
ASKAUTOLTD.NS,2026-09-01,635.6500244140625,630.9250030517578,578.7313774956597,545.5256811523437,471.8791296386719,471.53018783569337,630.65850332894,373.9332517882958,687.7000122070312,True,True,True,True,True,True,True,True,False,27.263785655538662,noise,21.82337699762458,False,True,False,False,,Auto Components,Auto Components & Equipments,80.04032258064517,True,True,12531.37,45.18,710703.0,0.3605,20
AUROPHARMA.NS,2026-09-01,1683.300048828125,1638.116678873698,1602.102779812283,1592.2699975585938,1426.619998372396,1369.176997680664,1651.406851844904,1016.0999755859375,1717.0,True,True,True,True,True,True,True,True,False,63.76106711230622,noise,56.851917810622034,False,True,False,False,,Pharmaceuticals & Biotechnology,Pharmaceuticals,91.04838709677419,True,True,96853.36,192.27,1142231.0,0.1985,No Band
AVALON.NS,2026-09-01,2318.60009765625,2214.0916748046875,1933.4527859157986,1880.9760083007814,1411.5823384602866,1284.6557534790038,2220.172956217022,777.2999877929688,2400.0,True,True,True,True,True,True,True,True,False,175.15576223575033,noise,69.39034799675314,False,True,False,False,,Electrical Equipment,Other Electrical Equipment,98.50806451612904,True,True,15507.33,97.44,420268.0,0.6284,20
AVTNPL.NS,2026-09-01,88.41000366210938,87.55916595458984,76.30416446261935,74.52835311889649,68.39380887349446,67.87677076339722,86.47389339545782,53.16497337905437,94.80000305175781,True,True,True,True,True,True,True,True,False,23.485543079207115,red,169.67159033446652,False,True,False,False,,Agricultural Food & other Products,Other Agricultural Products,77.54032258064515,True,True,1346.34,1.64,185600.0,0.1219,20
