symbol,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,rs_percentile,cond8_rs_at_least_70,all_conditions_met,total_market_cap_cr,ff_pct,traded_value_cr,traded_volume,traded_val_pct_of_ff,_ff_mc_raw,liquidity_score
DURLAX.NS,59.599998474121094,53.59583282470703,50.661110983954536,49.67,43.67132932027181,42.933497009277346,55.24334848365768,30.549999237060547,62.20000076293945,True,True,True,True,True,True,True,True,False,12.878786619920257,noise,30.688294607628237,False,74.09787444389521,True,True,,,,,,,
PRIZOR.NS,653.25,669.8374989827474,576.2666651407877,521.8779986572266,377.2229995727539,355.91849967956546,661.2744283984298,155.0,739.0,True,True,True,True,True,True,True,False,False,312.53550667561154,noise,61.50405367626502,False,99.70341077607515,True,True,,,,,,,
SBC.NS,38.560001373291016,34.86416721343994,33.52416695488824,32.95080013275147,29.52546667734782,27.208549995422363,35.51524568320038,14.210000038146973,39.2400016784668,True,True,True,True,True,True,True,True,False,157.06667582194012,ppv,119.52563061896358,False,98.26989619377161,True,True,,,,,,,
STEELCAS.NS,288.1499938964844,285.60416412353516,280.32222112019855,264.9557992553711,232.38727823893228,228.25867248535155,286.1256066680238,175.6788221569667,320.0,True,True,True,True,True,True,True,True,False,53.35585030111727,noise,89.9539209776586,False,91.25061789421652,True,True,,,,,,,
DIVGIITTS.NS,710.5,694.8833414713541,704.2652791341146,701.5459997558594,654.1893318684896,654.1713018798828,691.0245489836327,516.9921093503932,807.4000244140625,True,True,True,True,True,True,True,True,False,32.04839613502457,noise,33.27587785629691,False,85.56599110232328,True,True,,,,,,,
KMEW.NS,2067.5,2063.8499654134116,1864.50831773546,1776.6119848632814,1632.8096565755209,1475.3494927978516,2052.0020383979186,732.7000122070312,2285.39990234375,True,True,True,True,True,True,True,True,False,164.01482115397056,noise,85.22994164398257,False,98.5664854176965,True,True,,,,,,,
AGIIL.NS,383.1000061035156,381.1666666666667,366.34305657280817,348.5610003662109,294.86600016276043,280.5219500732422,382.53506489550267,162.5800018310547,434.3999938964844,True,True,True,True,True,True,True,True,False,130.9083223720091,noise,91.90025929830637,False,97.47899159663865,True,True,,,,,,,
MACPOWER.NS,1124.0999755859375,1158.1333414713542,1100.6888902452256,1037.0190014648438,957.3066666666666,934.2557821655273,1144.642135921375,761.0,1250.0,True,True,True,True,True,True,True,False,False,15.333039676598514,noise,25.60054735272306,False,76.02570439940682,True,True,,,,,,,
UCL.NS,155.75,143.78749974568686,119.06666670905219,105.88199981689453,69.81966674804687,63.70600021362305,146.00299877056062,38.0,155.75,True,True,True,True,True,True,True,True,False,199.51923076923075,dry,5.747126436781609,False,99.0113692535838,True,True,,,,,,,
SOUTHWEST.NS,254.11000061035156,236.65166600545248,235.45999908447266,226.0343994140625,198.1938665262858,182.94989978790284,243.97226760960515,121.0,273.239990234375,True,True,True,True,True,True,True,True,True,82.52406147268685,red,217.82817967679043,False,94.9579831932773,True,True,,,,,,,
TFCILTD.NS,73.58999633789062,76.54333241780598,73.06972185770671,70.81459953308105,68.89899960835774,68.36563301086426,74.8212836154908,38.759499988961196,84.61000061035156,True,True,True,True,True,True,True,False,False,80.9175081459496,red,168.48056650151793,False,94.76025704399407,True,True,,,,,,,
SAKAR.NS,761.5999755859375,666.6499989827474,620.0277777777778,594.3119995117188,473.0819995117188,440.2872499084473,716.841731813457,306.0,829.5999755859375,True,True,True,True,True,True,True,True,False,144.92681964548774,noise,79.0487212589327,False,97.92387543252595,True,True,,,,,,,
UNIHEALTH.NS,460.8500061035156,448.4874979654948,453.74027845594617,428.3120001220703,321.5456673177083,282.4092505645752,452.93117410799664,133.64999389648438,529.7999877929688,True,True,True,True,True,True,True,True,False,200.61969793172244,noise,72.72139625080801,False,99.06080079090461,True,True,,,,,,,
KRISHNADEF.NS,1098.699951171875,1154.7916666666667,1054.138883802626,1022.3559985351562,921.4459993489584,890.5572094726563,1136.006803786673,665.0,1313.0,True,True,True,True,True,True,True,False,False,25.6769471807182,red,214.9391036191334,False,82.69896193771626,True,True,,,,,,,
KESORAMIND.NS,13.029999732971191,12.384999990463257,10.95694449212816,10.17080002784729,8.832199993133544,7.976899991035461,12.262595767911565,4.550000190734863,14.260000228881836,True,True,True,True,True,True,True,True,False,162.1730439241877,noise,59.575376772897926,False,98.46762234305487,True,True,,,,,,,
