symbol,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,inside_bar,industry_group,industry,rs_percentile,cond8_rs_at_least_70,all_conditions_met,total_market_cap_cr,traded_value_cr,traded_volume,traded_val_pct_mc
ADANIGREEN.NS,1490.5,1454.1083475748699,1350.0013902452256,1244.6980029296874,1063.7236673990885,1050.1247500610352,1456.5878034056866,765.0,1532.5,True,True,True,True,True,True,True,True,False,48.337979509122555,noise,84.27859615923666,False,True,Power,Power Generation,90.65693430656935,True,True,245511.61,705.05,4730264,0.2872
HSCL.NS,667.2000122070312,617.870839436849,595.2913097805447,558.3787066650391,493.72729838053385,485.82325653076174,630.6772326155063,417.9330556788151,698.0,True,True,True,True,True,True,True,True,False,38.51043633225637,red,267.8351857989925,False,True,Chemicals & Petrochemicals,Carbon Black,87.98053527980535,True,True,33663.02,567.35,8503471,1.6854
MANINDS.NS,506.0,521.0833257039388,535.5680533515083,501.0169976806641,433.1166664632161,425.61175018310547,515.8350578730606,302.04998779296875,606.4000244140625,True,True,True,True,True,True,True,False,False,28.34495878249841,noise,59.88808976686971,False,True,Industrial Products,Iron & Steel Products,84.330900243309,True,True,3795.48,45.88,906642,1.2087
RICOAUTO.NS,132.1199951171875,122.39666557312012,118.1805551317003,116.48999969482422,116.4773996480306,111.03371955871582,124.54306489716639,65.40713375710308,142.39999389648438,True,True,True,True,True,True,True,True,False,62.09520384530314,red,132.4856906474861,False,True,Auto Components,Auto Components & Equipments,92.89537712895377,True,True,1787.39,33.7,2550896,1.8856
PCCL.NS,294.95001220703125,285.9500045776367,286.92916785346137,276.06900177001955,230.11600067138673,217.61375053405763,289.68441174535195,166.3000030517578,312.0,True,True,True,True,True,True,True,True,False,59.21728054360662,dry,0.0,False,True,Minerals & Mining,Industrial Minerals,92.4087591240876,True,True,728.53,0.36,12083,0.0489
PARIN.NS,704.5,687.4166666666666,658.8361087375217,646.467998046875,628.6706677246094,594.6857501220703,690.2316137687579,311.6499938964844,734.5999755859375,True,True,True,True,True,True,True,True,False,94.90938614119528,green,145.09733237202596,False,True,Consumer Durables,"Furniture, Home Furnishing",95.91240875912409,True,True,783.26,1.75,24830,0.2233
SAAKSHI.NS,246.0,239.75000127156576,233.24305513170032,221.2689993286133,194.5236662801107,189.5882497406006,242.72522913445786,133.0,276.0,True,True,True,True,True,True,True,True,False,53.89427000753155,noise,44.44444444444444,False,True,Electrical Equipment,Other Electrical Equipment,91.72749391727494,True,True,434.34,0.5,20351,0.1153
MAHICKRA.NS,245.0,238.00978469848633,234.9378916422526,229.77936706542968,187.0400480143229,178.5208698272705,240.45812060704037,111.9299995022964,251.84249877929688,True,True,True,True,True,True,True,True,False,93.56748150410124,noise,97.27626459143968,False,True,Chemicals & Petrochemicals,Dyes And Pigments,95.86374695863748,True,True,198.99,0.12,4935,0.0608
